Date,Week,Agegroup,Tested positive,Total tested,Group,Agerange,Percentage
2021-05-25,202121,70 - 79,676,7686,70 en ouder,70 en ouder,8.795
2021-05-25,202121,80 en ouder,158,1976,70 en ouder,70 en ouder,7.996
2021-06-01,202122,0 - 3,271,3761,Kinderen,0 - 12,7.206
2021-06-01,202122,4 - 12,2217,41063,Basisschool,0 - 12,5.399
2021-06-01,202122,13 - 17,1539,13496,Pubers,13 - 24,11.403
2021-06-01,202122,18 - 24,3019,25369,Jongvolwassenen,13 - 24,11.9
2021-06-01,202122,25 - 29,1700,17527,Jongvolwassenen,25 - 39,9.699
2021-06-01,202122,30 - 39,2957,37909,Volwassenen,25 - 39,7.8
2021-06-01,202122,40 - 49,2912,28548,Volwassenen,40 - 49,10.2
2021-06-01,202122,50 - 59,2879,23404,Volwassenen,50 - 59,12.301
2021-06-01,202122,60 - 69,1100,14289,Volwassenen,60 - 69,7.698
2021-06-01,202122,70 - 79,388,5311,70 en ouder,70 en ouder,7.306
2021-06-01,202122,80 en ouder,94,1441,70 en ouder,70 en ouder,6.523
2021-06-08,202123,0 - 3,200,3926,Kinderen,0 - 12,5.094
2021-06-08,202123,4 - 12,2033,47270,Basisschool,0 - 12,4.301
2021-06-08,202123,13 - 17,1477,14336,Pubers,13 - 24,10.303
2021-06-08,202123,18 - 24,2163,21000,Jongvolwassenen,13 - 24,10.3
2021-06-08,202123,25 - 29,1061,14332,Jongvolwassenen,25 - 39,7.403
2021-06-08,202123,30 - 39,2081,33036,Volwassenen,25 - 39,6.299
2021-06-08,202123,40 - 49,2124,25907,Volwassenen,40 - 49,8.199
2021-06-08,202123,50 - 59,1893,18206,Volwassenen,50 - 59,10.398
2021-06-08,202123,60 - 69,682,11763,Volwassenen,60 - 69,5.798
2021-06-08,202123,70 - 79,205,4189,70 en ouder,70 en ouder,4.894
2021-06-08,202123,80 en ouder,53,1208,70 en ouder,70 en ouder,4.387
2021-06-15,202124,0 - 3,120,2920,Kinderen,0 - 12,4.11
2021-06-15,202124,4 - 12,1037,34561,Basisschool,0 - 12,3.0
2021-06-15,202124,13 - 17,909,14904,Pubers,13 - 24,6.099
2021-06-15,202124,18 - 24,1605,17072,Jongvolwassenen,13 - 24,9.401
2021-06-15,202124,25 - 29,645,11516,Jongvolwassenen,25 - 39,5.601
2021-06-15,202124,30 - 39,1210,26298,Volwassenen,25 - 39,4.601
2021-06-15,202124,40 - 49,1128,19451,Volwassenen,40 - 49,5.799
2021-06-15,202124,50 - 59,966,13417,Volwassenen,50 - 59,7.2
2021-06-15,202124,60 - 69,325,8336,Volwassenen,60 - 69,3.899
2021-06-15,202124,70 - 79,75,3016,70 en ouder,70 en ouder,2.487
2021-06-15,202124,80 en ouder,26,861,70 en ouder,70 en ouder,3.02
2021-06-22,202125,0 - 3,55,2213,Kinderen,0 - 12,2.485
2021-06-22,202125,4 - 12,591,25681,Basisschool,0 - 12,2.301
2021-06-22,202125,13 - 17,825,16495,Pubers,13 - 24,5.002
2021-06-22,202125,18 - 24,1344,16196,Jongvolwassenen,13 - 24,8.298
2021-06-22,202125,25 - 29,501,10662,Jongvolwassenen,25 - 39,4.699
2021-06-22,202125,30 - 39,807,22421,Volwassenen,25 - 39,3.599
2021-06-22,202125,40 - 49,738,16766,Volwassenen,40 - 49,4.402
2021-06-22,202125,50 - 59,617,12104,Volwassenen,50 - 59,5.097
2021-06-22,202125,60 - 69,215,7153,Volwassenen,60 - 69,3.006
2021-06-22,202125,70 - 79,56,2784,70 en ouder,70 en ouder,2.011
2021-06-22,202125,80 en ouder,16,788,70 en ouder,70 en ouder,2.03
2021-06-29,202126,0 - 3,47,1940,Kinderen,0 - 12,2.423
2021-06-29,202126,4 - 12,336,20994,Basisschool,0 - 12,1.6
2021-06-29,202126,13 - 17,517,15218,Pubers,13 - 24,3.397
2021-06-29,202126,18 - 24,904,15316,Jongvolwassenen,13 - 24,5.902
2021-06-29,202126,25 - 29,409,10765,Jongvolwassenen,25 - 39,3.799
2021-06-29,202126,30 - 39,615,21980,Volwassenen,25 - 39,2.798
2021-06-29,202126,40 - 49,492,16951,Volwassenen,40 - 49,2.902
2021-06-29,202126,50 - 59,448,11796,Volwassenen,50 - 59,3.798
2021-06-29,202126,60 - 69,146,7279,Volwassenen,60 - 69,2.006
2021-06-29,202126,70 - 79,25,2791,70 en ouder,70 en ouder,0.896
2021-06-29,202126,80 en ouder,15,781,70 en ouder,70 en ouder,1.921
2021-07-06,202127,0 - 3,37,2323,Kinderen,0 - 12,1.593
2021-07-06,202127,4 - 12,341,18925,Basisschool,0 - 12,1.802
2021-07-06,202127,13 - 17,504,12608,Pubers,13 - 24,3.997
2021-07-06,202127,18 - 24,3279,31230,Jongvolwassenen,13 - 24,10.5
2021-07-06,202127,25 - 29,779,15268,Jongvolwassenen,25 - 39,5.102
2021-07-06,202127,30 - 39,868,26299,Volwassenen,25 - 39,3.301
2021-07-06,202127,40 - 49,521,19311,Volwassenen,40 - 49,2.698
2021-07-06,202127,50 - 59,460,15350,Volwassenen,50 - 59,2.997
2021-07-06,202127,60 - 69,149,8792,Volwassenen,60 - 69,1.695
2021-07-06,202127,70 - 79,35,3174,70 en ouder,70 en ouder,1.103
2021-07-06,202127,80 en ouder,11,723,70 en ouder,70 en ouder,1.521
2021-07-13,202128,0 - 3,147,4458,Kinderen,0 - 12,3.297
2021-07-13,202128,4 - 12,1142,32621,Basisschool,0 - 12,3.501
2021-07-13,202128,13 - 17,2715,27424,Pubers,13 - 24,9.9
2021-07-13,202128,18 - 24,28560,112884,Jongvolwassenen,13 - 24,25.3
2021-07-13,202128,25 - 29,7825,44462,Jongvolwassenen,25 - 39,17.599
2021-07-13,202128,30 - 39,4372,50838,Volwassenen,25 - 39,8.6
2021-07-13,202128,40 - 49,2077,39194,Volwassenen,40 - 49,5.299
2021-07-13,202128,50 - 59,2273,37269,Volwassenen,50 - 59,6.099
2021-07-13,202128,60 - 69,592,15180,Volwassenen,60 - 69,3.9
2021-07-13,202128,70 - 79,123,5116,70 en ouder,70 en ouder,2.404
2021-07-13,202128,80 en ouder,50,1342,70 en ouder,70 en ouder,3.726
2021-07-20,202129,0 - 3,304,7417,Kinderen,0 - 12,4.099
2021-07-20,202129,4 - 12,2576,45189,Basisschool,0 - 12,5.701
2021-07-20,202129,13 - 17,6130,36704,Pubers,13 - 24,16.701
2021-07-20,202129,18 - 24,25592,106189,Jongvolwassenen,13 - 24,24.1
2021-07-20,202129,25 - 29,10191,57904,Jongvolwassenen,25 - 39,17.6
2021-07-20,202129,30 - 39,8013,70289,Volwassenen,25 - 39,11.4
2021-07-20,202129,40 - 49,4850,53301,Volwassenen,40 - 49,9.099
2021-07-20,202129,50 - 59,5064,52206,Volwassenen,50 - 59,9.7
2021-07-20,202129,60 - 69,1674,22319,Volwassenen,60 - 69,7.5
2021-07-20,202129,70 - 79,440,8148,70 en ouder,70 en ouder,5.4
2021-07-20,202129,80 en ouder,167,2421,70 en ouder,70 en ouder,6.898
2021-07-27,202130,0 - 3,297,6070,Kinderen,0 - 12,4.893
2021-07-27,202130,4 - 12,2553,32314,Basisschool,0 - 12,7.901
2021-07-27,202130,13 - 17,4453,25159,Pubers,13 - 24,17.699
2021-07-27,202130,18 - 24,9424,48328,Jongvolwassenen,13 - 24,19.5
2021-07-27,202130,25 - 29,4250,30574,Jongvolwassenen,25 - 39,13.901
2021-07-27,202130,30 - 39,5440,49456,Volwassenen,25 - 39,11.0
2021-07-27,202130,40 - 49,3817,38173,Volwassenen,40 - 49,9.999
2021-07-27,202130,50 - 59,3320,34584,Volwassenen,50 - 59,9.6
2021-07-27,202130,60 - 69,1472,19123,Volwassenen,60 - 69,7.698
2021-07-27,202130,70 - 79,502,8227,70 en ouder,70 en ouder,6.102
2021-07-27,202130,80 en ouder,215,2473,70 en ouder,70 en ouder,8.694
2021-08-03,202131,0 - 3,218,3580,Kinderen,0 - 12,6.089
2021-08-03,202131,4 - 12,1617,16503,Basisschool,0 - 12,9.798
2021-08-03,202131,13 - 17,2465,16217,Pubers,13 - 24,15.2
2021-08-03,202131,18 - 24,4947,30348,Jongvolwassenen,13 - 24,16.301
2021-08-03,202131,25 - 29,2421,19848,Jongvolwassenen,25 - 39,12.198
2021-08-03,202131,30 - 39,3518,34831,Volwassenen,25 - 39,10.1
2021-08-03,202131,40 - 49,2338,25140,Volwassenen,40 - 49,9.3
2021-08-03,202131,50 - 59,1808,22324,Volwassenen,50 - 59,8.099
2021-08-03,202131,60 - 69,939,14908,Volwassenen,60 - 69,6.299
2021-08-03,202131,70 - 79,404,6970,70 en ouder,70 en ouder,5.796
2021-08-03,202131,80 en ouder,183,2315,70 en ouder,70 en ouder,7.905
2021-08-10,202132,0 - 3,166,2594,Kinderen,0 - 12,6.399
2021-08-10,202132,4 - 12,1157,7609,Basisschool,0 - 12,15.206
2021-08-10,202132,13 - 17,1478,7108,Pubers,13 - 24,20.793
2021-08-10,202132,18 - 24,3801,20003,Jongvolwassenen,13 - 24,19.002
2021-08-10,202132,25 - 29,1960,13904,Jongvolwassenen,25 - 39,14.097
2021-08-10,202132,30 - 39,2792,23263,Volwassenen,25 - 39,12.002
2021-08-10,202132,40 - 49,1785,15130,Volwassenen,40 - 49,11.798
2021-08-10,202132,50 - 59,1417,14757,Volwassenen,50 - 59,9.602
2021-08-10,202132,60 - 69,859,11608,Volwassenen,60 - 69,7.4
2021-08-10,202132,70 - 79,314,5514,70 en ouder,70 en ouder,5.695
2021-08-10,202132,80 en ouder,142,1705,70 en ouder,70 en ouder,8.328
2021-08-17,202133,0 - 3,190,2064,Kinderen,0 - 12,9.205
2021-08-17,202133,4 - 12,1088,5666,Basisschool,0 - 12,19.202
2021-08-17,202133,13 - 17,1333,6006,Pubers,13 - 24,22.194
2021-08-17,202133,18 - 24,3820,18019,Jongvolwassenen,13 - 24,21.2
2021-08-17,202133,25 - 29,1789,11466,Jongvolwassenen,25 - 39,15.603
2021-08-17,202133,30 - 39,2519,19228,Volwassenen,25 - 39,13.101
2021-08-17,202133,40 - 49,1660,12479,Volwassenen,40 - 49,13.302
2021-08-17,202133,50 - 59,1513,13158,Volwassenen,50 - 59,11.499
2021-08-17,202133,60 - 69,838,9739,Volwassenen,60 - 69,8.605
2021-08-17,202133,70 - 79,344,4777,70 en ouder,70 en ouder,7.201
2021-08-17,202133,80 en ouder,142,1608,70 en ouder,70 en ouder,8.831
2021-08-24,202134,0 - 3,182,1876,Kinderen,0 - 12,9.701
2021-08-24,202134,4 - 12,1302,6855,Basisschool,0 - 12,18.993
2021-08-24,202134,13 - 17,1500,7008,Pubers,13 - 24,21.404
2021-08-24,202134,18 - 24,3344,22904,Jongvolwassenen,13 - 24,14.6
2021-08-24,202134,25 - 29,1702,10981,Jongvolwassenen,25 - 39,15.499
2021-08-24,202134,30 - 39,2584,18456,Volwassenen,25 - 39,14.001
2021-08-24,202134,40 - 49,1881,13628,Volwassenen,40 - 49,13.802
2021-08-24,202134,50 - 59,1465,13438,Volwassenen,50 - 59,10.902
2021-08-24,202134,60 - 69,814,9575,Volwassenen,60 - 69,8.501
2021-08-24,202134,70 - 79,321,4784,70 en ouder,70 en ouder,6.71
2021-08-24,202134,80 en ouder,173,1767,70 en ouder,70 en ouder,9.791
2021-08-31,202135,0 - 3,261,2509,Kinderen,0 - 12,10.403
2021-08-31,202135,4 - 12,1910,12325,Basisschool,0 - 12,15.497
2021-08-31,202135,13 - 17,1471,7704,Pubers,13 - 24,19.094
2021-08-31,202135,18 - 24,3047,22082,Jongvolwassenen,13 - 24,13.799
2021-08-31,202135,25 - 29,1671,12111,Jongvolwassenen,25 - 39,13.797
2021-08-31,202135,30 - 39,2837,21013,Volwassenen,25 - 39,13.501
2021-08-31,202135,40 - 49,2097,15888,Volwassenen,40 - 49,13.199
2021-08-31,202135,50 - 59,1544,14166,Volwassenen,50 - 59,10.899
2021-08-31,202135,60 - 69,880,9892,Volwassenen,60 - 69,8.896
2021-08-31,202135,70 - 79,420,4945,70 en ouder,70 en ouder,8.493
2021-08-31,202135,80 en ouder,163,1648,70 en ouder,70 en ouder,9.891
2021-09-07,202136,0 - 3,245,2694,Kinderen,0 - 12,9.094
2021-09-07,202136,4 - 12,3005,26132,Basisschool,0 - 12,11.499
2021-09-07,202136,13 - 17,1477,10552,Pubers,13 - 24,13.997
2021-09-07,202136,18 - 24,2434,26456,Jongvolwassenen,13 - 24,9.2
2021-09-07,202136,25 - 29,1537,14368,Jongvolwassenen,25 - 39,10.697
2021-09-07,202136,30 - 39,2825,24142,Volwassenen,25 - 39,11.702
2021-09-07,202136,40 - 49,2148,18520,Volwassenen,40 - 49,11.598
2021-09-07,202136,50 - 59,1523,15231,Volwassenen,50 - 59,9.999
2021-09-07,202136,60 - 69,946,10396,Volwassenen,60 - 69,9.1
2021-09-07,202136,70 - 79,408,4977,70 en ouder,70 en ouder,8.198
2021-09-07,202136,80 en ouder,157,1588,70 en ouder,70 en ouder,9.887
2021-09-14,202137,0 - 3,237,3002,Kinderen,0 - 12,7.895
2021-09-14,202137,4 - 12,3257,36592,Basisschool,0 - 12,8.901
2021-09-14,202137,13 - 17,1436,16322,Pubers,13 - 24,8.798
2021-09-14,202137,18 - 24,1795,20402,Jongvolwassenen,13 - 24,8.798
2021-09-14,202137,25 - 29,1370,13979,Jongvolwassenen,25 - 39,9.8
2021-09-14,202137,30 - 39,2463,25657,Volwassenen,25 - 39,9.6
2021-09-14,202137,40 - 49,1956,20812,Volwassenen,40 - 49,9.398
2021-09-14,202137,50 - 59,1355,15761,Volwassenen,50 - 59,8.597
2021-09-14,202137,60 - 69,834,10301,Volwassenen,60 - 69,8.096
2021-09-14,202137,70 - 79,399,5113,70 en ouder,70 en ouder,7.804
2021-09-14,202137,80 en ouder,187,1800,70 en ouder,70 en ouder,10.389
2021-09-21,202138,0 - 3,187,2342,Kinderen,0 - 12,7.985
2021-09-21,202138,4 - 12,2724,32820,Basisschool,0 - 12,8.3
2021-09-21,202138,13 - 17,1186,17185,Pubers,13 - 24,6.901
2021-09-21,202138,18 - 24,1383,18947,Jongvolwassenen,13 - 24,7.299
2021-09-21,202138,25 - 29,1094,13175,Jongvolwassenen,25 - 39,8.304
2021-09-21,202138,30 - 39,2083,24216,Volwassenen,25 - 39,8.602
2021-09-21,202138,40 - 49,1746,20542,Volwassenen,40 - 49,8.5
2021-09-21,202138,50 - 59,1165,14936,Volwassenen,50 - 59,7.8
2021-09-21,202138,60 - 69,705,9522,Volwassenen,60 - 69,7.404
2021-09-21,202138,70 - 79,361,4876,70 en ouder,70 en ouder,7.404
2021-09-21,202138,80 en ouder,126,1594,70 en ouder,70 en ouder,7.905
2021-09-28,202139,0 - 3,146,1785,Kinderen,0 - 12,8.179
2021-09-28,202139,4 - 12,2008,19688,Basisschool,0 - 12,10.199
2021-09-28,202139,13 - 17,999,16656,Pubers,13 - 24,5.998
2021-09-28,202139,18 - 24,1257,18489,Jongvolwassenen,13 - 24,6.799
2021-09-28,202139,25 - 29,864,13290,Jongvolwassenen,25 - 39,6.501
2021-09-28,202139,30 - 39,1776,24330,Volwassenen,25 - 39,7.3
2021-09-28,202139,40 - 49,1544,20591,Volwassenen,40 - 49,7.498
2021-09-28,202139,50 - 59,1084,15491,Volwassenen,50 - 59,6.998
2021-09-28,202139,60 - 69,693,9759,Volwassenen,60 - 69,7.101
2021-09-28,202139,70 - 79,364,4664,70 en ouder,70 en ouder,7.804
2021-09-28,202139,80 en ouder,179,1626,70 en ouder,70 en ouder,11.009
2021-10-05,202140,0 - 3,145,1931,Kinderen,0 - 12,7.509
2021-10-05,202140,4 - 12,1762,15455,Basisschool,0 - 12,11.401
2021-10-05,202140,13 - 17,962,12824,Pubers,13 - 24,7.502
2021-10-05,202140,18 - 24,1206,17731,Jongvolwassenen,13 - 24,6.802
2021-10-05,202140,25 - 29,935,13356,Jongvolwassenen,25 - 39,7.001
2021-10-05,202140,30 - 39,1881,24117,Volwassenen,25 - 39,7.799
2021-10-05,202140,40 - 49,1553,19418,Volwassenen,40 - 49,7.998
2021-10-05,202140,50 - 59,1184,15179,Volwassenen,50 - 59,7.8
2021-10-05,202140,60 - 69,866,10189,Volwassenen,60 - 69,8.499
2021-10-05,202140,70 - 79,416,4781,70 en ouder,70 en ouder,8.701
2021-10-05,202140,80 en ouder,170,1437,70 en ouder,70 en ouder,11.83
2021-10-12,202141,0 - 3,161,2091,Kinderen,0 - 12,7.7
2021-10-12,202141,4 - 12,2703,16790,Basisschool,0 - 12,16.099
2021-10-12,202141,13 - 17,1202,11445,Pubers,13 - 24,10.502
2021-10-12,202141,18 - 24,1814,22401,Jongvolwassenen,13 - 24,8.098
2021-10-12,202141,25 - 29,1328,16392,Jongvolwassenen,25 - 39,8.102
2021-10-12,202141,30 - 39,2530,28110,Volwassenen,25 - 39,9.0
2021-10-12,202141,40 - 49,2345,22119,Volwassenen,40 - 49,10.602
2021-10-12,202141,50 - 59,1818,18182,Volwassenen,50 - 59,9.999
2021-10-12,202141,60 - 69,1271,12341,Volwassenen,60 - 69,10.299
2021-10-12,202141,70 - 79,742,5839,70 en ouder,70 en ouder,12.708
2021-10-12,202141,80 en ouder,300,1985,70 en ouder,70 en ouder,15.113
2021-10-19,202142,0 - 3,255,2745,Kinderen,0 - 12,9.29
2021-10-19,202142,4 - 12,3827,21379,Basisschool,0 - 12,17.901
2021-10-19,202142,13 - 17,1647,12198,Pubers,13 - 24,13.502
2021-10-19,202142,18 - 24,2762,27619,Jongvolwassenen,13 - 24,10.0
2021-10-19,202142,25 - 29,1962,20649,Jongvolwassenen,25 - 39,9.502
2021-10-19,202142,30 - 39,3661,34865,Volwassenen,25 - 39,10.501
2021-10-19,202142,40 - 49,3221,27293,Volwassenen,40 - 49,11.802
2021-10-19,202142,50 - 59,2812,24035,Volwassenen,50 - 59,11.7
2021-10-19,202142,60 - 69,1956,16859,Volwassenen,60 - 69,11.602
2021-10-19,202142,70 - 79,1278,8039,70 en ouder,70 en ouder,15.897
2021-10-19,202142,80 en ouder,477,2694,70 en ouder,70 en ouder,17.706
2021-10-26,202143,0 - 3,204,2168,Kinderen,0 - 12,9.41
2021-10-26,202143,4 - 12,3545,17292,Basisschool,0 - 12,20.501
2021-10-26,202143,13 - 17,1579,9286,Pubers,13 - 24,17.004
2021-10-26,202143,18 - 24,2711,26065,Jongvolwassenen,13 - 24,10.401
2021-10-26,202143,25 - 29,2374,22610,Jongvolwassenen,25 - 39,10.5
2021-10-26,202143,30 - 39,4286,38964,Volwassenen,25 - 39,11.0
2021-10-26,202143,40 - 49,3830,29459,Volwassenen,40 - 49,13.001
2021-10-26,202143,50 - 59,3419,27355,Volwassenen,50 - 59,12.499
2021-10-26,202143,60 - 69,2584,19574,Volwassenen,60 - 69,13.201
2021-10-26,202143,70 - 79,1727,9337,70 en ouder,70 en ouder,18.496
2021-10-26,202143,80 en ouder,694,3031,70 en ouder,70 en ouder,22.897
2021-11-02,202144,0 - 3,220,1715,Kinderen,0 - 12,12.828
2021-11-02,202144,4 - 12,3229,14746,Basisschool,0 - 12,21.897
2021-11-02,202144,13 - 17,1480,12034,Pubers,13 - 24,12.298
2021-11-02,202144,18 - 24,3019,29596,Jongvolwassenen,13 - 24,10.201
2021-11-02,202144,25 - 29,2460,25357,Jongvolwassenen,25 - 39,9.701
2021-11-02,202144,30 - 39,4845,46143,Volwassenen,25 - 39,10.5
2021-11-02,202144,40 - 49,4219,36684,Volwassenen,40 - 49,11.501
2021-11-02,202144,50 - 59,4108,34813,Volwassenen,50 - 59,11.8
2021-11-02,202144,60 - 69,3322,25355,Volwassenen,60 - 69,13.102
2021-11-02,202144,70 - 79,2239,11368,70 en ouder,70 en ouder,19.696
2021-11-02,202144,80 en ouder,838,2774,70 en ouder,70 en ouder,30.209
2021-11-09,202145,0 - 3,515,4767,Kinderen,0 - 12,10.803
2021-11-09,202145,4 - 12,9865,41978,Basisschool,0 - 12,23.5
2021-11-09,202145,13 - 17,4020,24662,Pubers,13 - 24,16.3
2021-11-09,202145,18 - 24,6563,44048,Jongvolwassenen,13 - 24,14.9
2021-11-09,202145,25 - 29,5584,36023,Jongvolwassenen,25 - 39,15.501
2021-11-09,202145,30 - 39,11044,69462,Volwassenen,25 - 39,15.899
2021-11-09,202145,40 - 49,9988,60171,Volwassenen,40 - 49,16.599
2021-11-09,202145,50 - 59,9615,58629,Volwassenen,50 - 59,16.4
2021-11-09,202145,60 - 69,7722,44898,Volwassenen,60 - 69,17.199
2021-11-09,202145,70 - 79,5014,24578,70 en ouder,70 en ouder,20.4
2021-11-09,202145,80 en ouder,2042,8615,70 en ouder,70 en ouder,23.703
