,time,"('susceptible', 'All')",susceptible,"('exposed', 'All')",exposed,"('infected (active)', 'All')",infected (active),"('infected (total)', 'All')",infected (total),"('removed', 'All')",removed,"('hospitalized (active)', 'All')",hospitalized (active),"('in ICU', 'All')",in ICU,"('deaths', 'All')",deaths
13,13.0,16623841.455609856,16623841.455609856,49564.83968612645,49564.83968612645,117066.81821995995,117066.81821995995,327040.46295580734,327040.46295580734,209526.88648405988,209526.88648405988,,,,,,
14,14.0,16607510.412492804,16607510.412492804,49401.69198680831,49401.69198680831,116852.22412492483,116852.22412492483,343534.88490129646,343534.88490129646,226235.67139546596,226235.67139546596,,,,,,
15,15.0,16591226.857574265,16591226.857574265,49244.340754310884,49244.340754310884,116616.56492576683,116616.56492576683,359975.89035814966,359975.89035814966,242912.2367456596,242912.2367456596,,,,,,
16,16.0,16574993.32000521,16574993.32000521,49089.00523490933,49089.00523490933,116363.79725838888,116363.79725838888,376364.781356353,376364.781356353,259553.87750149568,259553.87750149568,,,,,,
17,17.0,16558811.877499446,16558811.877499446,48933.355506872154,48933.355506872154,116096.42508928463,116096.42508928463,392701.8414799833,392701.8414799833,276158.3419044007,276158.3419044007,,,,,,
18,18.0,16542684.319247201,16542684.319247201,48775.964491486804,48775.964491486804,115816.04991644171,115816.04991644171,408986.72814637644,408986.72814637644,292723.6663448741,292723.6663448741,,,,,,
19,19.0,16526612.247042757,16526612.247042757,48615.96715612904,48615.96715612904,115523.71299114238,115523.71299114238,425218.7167543124,425218.7167543124,309248.07280997414,309248.07280997414,,,,,,
20,20.0,16510597.138020132,16510597.138020132,48452.84854337498,48452.84854337498,115220.10818496028,115220.10818496028,441396.8527042297,441396.8527042297,325729.90525153535,325729.90525153535,,,,,,
21,21.0,16494640.383533081,16494640.383533081,48286.311908276715,48286.311908276715,114905.71439498584,114905.71439498584,457520.0461128383,457520.0461128383,342167.590163658,342167.590163658,,,3900.498570582264,3900.498570582264,,
22,22.0,16478743.313212756,16478743.313212756,48116.19667433613,48116.19667433613,114580.87789474775,114580.87789474775,473587.13087660715,473587.13087660715,358559.61221816216,358559.61221816216,,,3904.274834979532,3904.274834979532,,
23,23.0,16462907.209817123,16462907.209817123,47942.42737439782,47942.42737439782,114245.86354367436,114245.86354367436,489596.9015513961,489596.9015513961,374904.49926480744,374904.49926480744,,,3903.700072206945,3903.700072206945,,
24,24.0,16447133.31836165,16447133.31836165,47764.98186459951,47764.98186459951,113900.88661968801,113900.88661968801,505548.1364245623,505548.1364245623,391200.8131540634,391200.8131540634,,,3900.281366745225,3900.281366745225,,
25,25.0,16431422.851700375,16431422.851700375,47583.8715275994,47583.8715275994,113546.1325937505,113546.1325937505,521439.6119899288,521439.6119899288,407447.14417827554,407447.14417827554,,,3894.9571547010573,3894.9571547010573,0.0,0.0
26,26.0,16415776.993905824,16415776.993905824,47399.12893474989,47399.12893474989,113181.7693999026,113181.7693999026,537270.112066987,537270.112066987,423642.10775952577,423642.10775952577,,,3888.312353228895,3888.312353228895,2616.690659565269,2616.690659565269
27,27.0,16400196.902286196,16400196.902286196,47210.800149194,47210.800149194,112807.95503416873,112807.95503416873,553038.4335809776,553038.4335809776,439784.34253044165,439784.34253044165,,,3880.712098758328,3880.712098758328,4881.530766875861,4881.530766875861
28,28.0,16384683.70856114,16384683.70856114,47018.93991681061,47018.93991681061,112424.84224553966,112424.84224553966,568743.3902586452,568743.3902586452,455872.50927651057,455872.50927651057,,,3872.384894613726,3872.384894613726,6926.533593672764,6926.533593672764
29,29.0,16369238.519520223,16369238.519520223,46823.60865433282,46823.60865433282,112032.58141640926,112032.58141640926,584383.8150205023,584383.8150205023,471905.29040903685,471905.29040903685,,,3863.47431000201,3863.47431000201,8833.681502225765,8833.681502225765
30,30.0,16353862.417365735,16353862.417365735,46624.8705560162,46624.8705560162,111631.32231552788,111631.32231552788,599958.5615555606,599958.5615555606,487881.3897627229,487881.3897627229,,,3854.0711277477253,3854.0711277477253,10653.866905484698,10653.866905484698
31,31.0,16338556.459865147,16338556.459865147,46422.79239657979,46422.79239657979,111221.21514870499,111221.21514870499,615466.5053809932,615466.5053809932,503799.5325895688,503799.5325895688,,,3844.2333360636026,3844.2333360636026,12418.66228409356,12418.66228409356
32,32.0,16323321.680391166,16323321.680391166,46217.442767637534,46217.442767637534,110802.41117202751,110802.41117202751,630906.5445750295,630906.5445750295,519658.4656691687,519658.4656691687,,,3833.998561623548,3833.998561623548,14147.633929952863,14147.633929952863
33,33.0,16308159.087897828,16308159.087897828,46008.89158408165,46008.89158408165,110375.0630324821,110375.0630324821,646277.600300316,646277.600300316,535456.9574856088,535456.9574856088,,,3823.3918020952606,3823.3918020952606,15852.886712245221,15852.886712245221
34,34.0,16293069.666862728,16293069.666862728,45797.20975863943,45797.20975863943,109939.32493869553,109939.32493869553,661578.6171907695,661578.6171907695,551193.7984399393,551193.7984399393,,,3812.430235244874,3812.430235244874,17541.88834715294,17541.88834715294
