Leeftijdsgroep,2021-12-07 00:00:00,2021-12-07 00:00:00,"Getest,",Date
0 - 3,14396 14.0,3444 19.5,10952 12.2,2021-12-07
4 - 12,125428 23.1,34597 23.6,90831 22.9,2021-12-07
13 - 17,49162 15.8,15332 14.3,33830 16.5,2021-12-07
18 - 24,53120 18.4,20015 17.0,33105 19.3,2021-12-07
25 - 29,40899 19.5,13217 20.0,27682 19.2,2021-12-07
30 - 39,104100 20.1,29472 22.4,74628 19.2,2021-12-07
40 - 49,96721 20.6,29934 21.9,66787 20.1,2021-12-07
50 - 59,65421 22.4,19261 23.1,46160 22.1,2021-12-07
60 - 69,43612 25.7,11051 29.2,32561 24.5,2021-12-07
70 - 79,21448 29.9,4787 33.7,16661 28.7,2021-12-07
80+,7338 33.9,1229 37.1,6109 33.2,2021-12-07
0 - 3,65882 12.1,17835 17.3,48047 10.2,2021-12-07
4 - 12,601021 23.1,196344 23.9,404677 22.8,2021-12-07
13 - 17,292062 15.5,81516 16.3,210546 15.2,2021-12-07
18 - 24,424643 15.1,116546 16.7,308097 14.5,2021-12-07
25 - 29,327363 15.7,81307 18.7,246056 14.7,2021-12-07
30 - 39,677314 16.9,160984 20.8,516330 15.7,2021-12-07
40 - 49,603718 17.9,160014 20.8,443704 16.9,2021-12-07
50 - 59,484075 18.1,116046 21.8,368029 16.9,2021-12-07
60 - 69,337246 20.0,69439 27.0,267807 18.2,2021-12-07
70 - 79,171953 23.8,32366 31.4,139587 22.0,2021-12-07
80+,59678 27.0,10168 32.6,49510 25.8,2021-12-07
