Leeftijdsgroep,2021-10-12 00:00:00,2021-10-12 00:00:00,"Getest,",Date
0 - 3,2091 7.7,629 14.9,1462 4.6,2021-10-12
4 - 12,16790 16.1,5514 23.0,11276 12.8,2021-10-12
13 - 17,11445 10.5,2022 17.8,9423 8.9,2021-10-12
18 - 24,22401 8.1,2047 15.3,20354 7.4,2021-10-12
25 - 29,16392 8.1,1219 17.8,15173 7.4,2021-10-12
30 - 39,28110 9.0,2700 19.9,25410 7.8,2021-10-12
40 - 49,22119 10.6,3100 19.5,19019 9.1,2021-10-12
50 - 59,18182 10.0,2133 18.4,16049 8.9,2021-10-12
60 - 69,12341 10.3,1330 24.8,11011 8.6,2021-10-12
70 - 79,5839 12.7,696 26.9,5143 10.7,2021-10-12
80+,1985 15.1,274 30.3,1711 12.6,2021-10-12
0 - 3,22883 8.4,7385 14.4,15498 5.5,2021-10-12
4 - 12,179988 11.6,70444 14.2,109544 10.0,2021-10-12
13 - 17,112832 11.5,23196 17.0,89636 10.1,2021-10-12
18 - 24,207447 11.5,33064 17.6,174383 10.4,2021-10-12
25 - 29,133045 10.7,20259 17.4,112786 9.5,2021-10-12
30 - 39,232577 10.4,34465 17.8,198112 9.2,2021-10-12
40 - 49,179165 10.4,33345 16.2,145820 9.1,2021-10-12
50 - 59,150320 9.4,26308 15.0,124012 8.2,2021-10-12
60 - 69,103341 8.4,13052 18.0,90289 7.0,2021-10-12
70 - 79,50283 8.1,5503 19.5,44780 6.7,2021-10-12
80+,16759 10.4,1985 20.5,14774 9.0,2021-10-12
