Leeftijdsgroep,2021-04-27 00:00:00,2021-04-27 00:00:00,"Getest,",Date
0 - 3,10682 5.1,3299 9.1,7383 3.3,2021-04-27
4 - 12,91636 6.2,31828 9.7,59808 4.4,2021-04-27
13 - 17,30868 12.1,10107 15.0,20761 10.8,2021-04-27
18 - 24,57357 12.8,10930 15.2,46427 12.2,2021-04-27
25 - 29,37453 10.7,5533 12.5,31920 10.4,2021-04-27
30 - 39,80523 9.0,10843 14.5,69680 8.1,2021-04-27
40 - 49,64375 11.6,12952 15.2,51423 10.7,2021-04-27
50 - 59,57341 14.3,12463 16.7,44878 13.7,2021-04-27
60 - 69,37668 11.8,6511 16.3,31157 10.9,2021-04-27
70 - 79,15721 14.3,3029 20.8,12692 12.8,2021-04-27
80+,3347 12.0,846 14.5,2501 11.2,2021-04-27
0 - 3,68729 5.8,21030 11.0,47699 3.5,2021-04-27
4 - 12,770493 5.9,220746 10.6,549747 4.0,2021-04-27
13 - 17,263819 10.8,78115 16.0,185704 8.7,2021-04-27
18 - 24,527704 11.2,99015 15.3,428689 10.3,2021-04-27
25 - 29,379318 9.0,53146 13.7,326172 8.3,2021-04-27
30 - 39,866422 7.4,102585 14.6,763837 6.4,2021-04-27
40 - 49,681030 9.3,114023 15.5,567007 8.0,2021-04-27
50 - 59,588396 12.0,115431 16.8,472965 10.9,2021-04-27
60 - 69,427649 10.0,66744 17.2,360905 8.6,2021-04-27
70 - 79,196767 11.0,30877 20.1,165890 9.3,2021-04-27
80+,49736 13.4,9175 20.4,40561 11.8,2021-04-27
