Leeftijdsgroep,2021-09-21 00:00:00,2021-09-21 00:00:00,"Getest,",Date
0 - 3,2342 8.0,804 13.8,1538 5.0,2021-09-21
4 - 12,32820 8.3,14711 9.5,18109 7.3,2021-09-21
13 - 17,17185 6.9,2925 12.8,14260 5.6,2021-09-21
18 - 24,18947 7.3,2670 13.4,16277 6.3,2021-09-21
25 - 29,13175 8.3,1826 15.8,11349 7.1,2021-09-21
30 - 39,24216 8.6,3748 16.5,20468 7.1,2021-09-21
40 - 49,20542 8.5,3849 14.3,16693 7.1,2021-09-21
50 - 59,14936 7.8,2306 15.4,12630 6.4,2021-09-21
60 - 69,9522 7.4,1067 17.7,8455 6.1,2021-09-21
70 - 79,4876 7.4,500 18.4,4376 6.1,2021-09-21
80+,1594 7.9,164 12.8,1430 7.3,2021-09-21
0 - 3,48060 5.6,14811 10.1,33249 3.6,2021-09-21
4 - 12,342806 7.2,120817 10.0,221989 5.6,2021-09-21
13 - 17,208080 13.5,60992 15.7,147088 12.5,2021-09-21
18 - 24,488316 19.4,154443 20.0,333873 19.1,2021-09-21
25 - 29,275931 13.8,74986 15.5,200945 13.2,2021-09-21
30 - 39,433714 9.9,85175 14.1,348539 8.8,2021-09-21
40 - 49,314558 9.2,74607 12.3,239951 8.3,2021-09-21
50 - 59,280703 8.9,80168 10.9,200535 8.1,2021-09-21
60 - 69,169178 6.7,27962 12.1,141216 5.7,2021-09-21
70 - 79,74169 5.7,9688 11.5,64481 4.8,2021-09-21
80+,23230 7.6,3106 12.8,20124 6.8,2021-09-21
