Leeftijdsgroep,2021-10-19 00:00:00,2021-10-19 00:00:00,"Getest,",Date
0 - 3,2745 9.3,904 16.7,1841 5.7,2021-10-19
4 - 12,21379 17.9,7763 21.8,13616 15.6,2021-10-19
13 - 17,12198 13.5,2840 18.3,9358 12.0,2021-10-19
18 - 24,27619 10.0,4030 14.7,23589 9.2,2021-10-19
25 - 29,20649 9.5,2621 17.6,18028 8.4,2021-10-19
30 - 39,34865 10.5,4952 18.6,29913 9.2,2021-10-19
40 - 49,27293 11.8,5139 18.7,22154 10.1,2021-10-19
50 - 59,24035 11.7,3902 19.8,20133 10.1,2021-10-19
60 - 69,16859 11.6,2321 23.1,14538 9.7,2021-10-19
70 - 79,8039 15.9,1155 29.4,6884 13.7,2021-10-19
80+,2694 17.7,411 26.0,2283 16.2,2021-10-19
0 - 3,25628 8.5,8289 14.6,17339 5.6,2021-10-19
4 - 12,201369 12.3,78208 14.9,123161 10.6,2021-10-19
13 - 17,125033 11.7,26036 17.1,98997 10.3,2021-10-19
18 - 24,235066 11.3,37096 17.3,197970 10.2,2021-10-19
25 - 29,153697 10.6,22880 17.4,130817 9.4,2021-10-19
30 - 39,267445 10.4,39417 17.9,228028 9.2,2021-10-19
40 - 49,206458 10.6,38484 16.6,167974 9.2,2021-10-19
50 - 59,174356 9.7,30210 15.7,144146 8.4,2021-10-19
60 - 69,120201 8.9,15373 18.8,104828 7.4,2021-10-19
70 - 79,58322 9.2,6658 21.2,51664 7.7,2021-10-19
80+,19453 11.4,2396 21.4,17057 10.0,2021-10-19
