Leeftijdsgroep,2021-06-01 00:00:00,2021-06-01 00:00:00,"Getest,",Date
0 - 3,3761 7.2,1365 13.3,2396 3.7,2021-06-01
4 - 12,41063 5.4,12860 9.8,28203 3.4,2021-06-01
13 - 17,13496 11.4,4225 14.6,9271 9.9,2021-06-01
18 - 24,25369 11.9,5200 14.1,20169 11.3,2021-06-01
25 - 29,17527 9.7,2591 13.0,14936 9.1,2021-06-01
30 - 39,37909 7.8,4647 15.5,33262 6.8,2021-06-01
40 - 49,28548 10.2,5531 15.2,23017 9.0,2021-06-01
50 - 59,23404 12.3,5437 15.2,17967 11.3,2021-06-01
60 - 69,14289 7.7,2429 12.7,11860 6.6,2021-06-01
70 - 79,5311 7.3,1007 12.7,4304 6.0,2021-06-01
80+,1441 6.5,320 11.2,1121 5.2,2021-06-01
0 - 3,55617 6.2,18721 11.0,36896 3.7,2021-06-01
4 - 12,446609 6.7,153913 10.6,292696 4.6,2021-06-01
13 - 17,178080 13.0,59273 16.3,118807 11.4,2021-06-01
18 - 24,381323 13.2,75930 14.9,305393 12.8,2021-06-01
25 - 29,250657 10.7,37740 13.7,212917 10.2,2021-06-01
30 - 39,506230 8.9,66704 14.9,439526 8.0,2021-06-01
40 - 49,398661 11.5,79960 15.8,318701 10.4,2021-06-01
50 - 59,370621 13.7,81607 16.4,289014 13.0,2021-06-01
60 - 69,242123 10.8,41597 16.4,200526 9.7,2021-06-01
70 - 79,103076 12.6,20214 18.3,82862 11.2,2021-06-01
80+,22089 10.6,5357 13.5,16732 9.7,2021-06-01
