Leeftijdsgroep,2021-12-28 00:00:00,2021-12-28 00:00:00,"Getest,",Date
0 - 3,8489 16.3,2466 21.4,6023 14.3,2021-12-28
4 - 12,40682 29.2,14151 27.3,26531 30.2,2021-12-28
13 - 17,19120 22.3,7219 19.3,11901 24.2,2021-12-28
18 - 24,41965 22.9,16553 21.3,25412 23.9,2021-12-28
25 - 29,34402 21.6,12007 21.2,22395 21.9,2021-12-28
30 - 39,67703 21.2,20354 23.5,47349 20.2,2021-12-28
40 - 49,53722 22.4,17646 22.7,36076 22.3,2021-12-28
50 - 59,40291 24.5,13088 24.1,27203 24.7,2021-12-28
60 - 69,25338 25.6,7077 27.7,18261 24.8,2021-12-28
70 - 79,11323 26.0,2578 29.1,8745 25.0,2021-12-28
80+,3477 19.6,604 23.2,2873 18.8,2021-12-28
0 - 3,95300 13.6,26412 18.8,68888 11.6,2021-12-28
4 - 12,786610 24.5,261035 24.3,525575 24.5,2021-12-28
13 - 17,369076 16.4,109256 16.4,259820 16.5,2021-12-28
18 - 24,544190 16.4,163648 17.5,380542 15.9,2021-12-28
25 - 29,424263 16.9,114650 19.4,309613 16.0,2021-12-28
30 - 39,892875 18.0,227476 21.6,665399 16.8,2021-12-28
40 - 49,787022 19.0,222210 21.4,564812 18.1,2021-12-28
50 - 59,613893 19.4,157290 22.4,456603 18.4,2021-12-28
60 - 69,424798 21.4,93334 27.5,331464 19.6,2021-12-28
70 - 79,214000 24.8,41753 31.4,172247 23.2,2021-12-28
80+,73547 27.2,12470 32.2,61077 26.2,2021-12-28
