Leeftijdsgroep,2021-05-04 00:00:00,2021-05-04 00:00:00,"Getest,",Date
0 - 3,7949 6.0,2817 9.7,5132 4.0,2021-05-04
4 - 12,62543 7.2,23200 10.4,39343 5.3,2021-05-04
13 - 17,22486 15.1,8223 17.2,14263 13.9,2021-05-04
18 - 24,54403 14.4,10262 15.7,44141 14.1,2021-05-04
25 - 29,34873 12.2,5128 15.0,29745 11.7,2021-05-04
30 - 39,69938 9.5,9592 14.8,60346 8.6,2021-05-04
40 - 49,56266 12.6,11891 16.1,44375 11.6,2021-05-04
50 - 59,51026 14.8,11222 16.6,39804 14.3,2021-05-04
60 - 69,33282 11.9,5945 17.4,27337 10.7,2021-05-04
70 - 79,13603 15.4,2876 19.5,10727 14.3,2021-05-04
80+,2914 11.0,652 12.3,2262 10.7,2021-05-04
0 - 3,76680 5.8,23847 10.8,52833 3.6,2021-05-04
4 - 12,833042 6.0,243952 10.6,589090 4.0,2021-05-04
13 - 17,286305 11.2,86337 16.1,199968 9.0,2021-05-04
18 - 24,582113 11.5,109277 15.3,472836 10.6,2021-05-04
25 - 29,414193 9.3,58275 13.9,355918 8.6,2021-05-04
30 - 39,936372 7.5,112178 14.6,824194 6.6,2021-05-04
40 - 49,737305 9.5,125914 15.5,611391 8.3,2021-05-04
50 - 59,639434 12.3,126655 16.8,512779 11.2,2021-05-04
60 - 69,460937 10.1,72692 17.2,388245 8.8,2021-05-04
70 - 79,210376 11.3,33756 20.1,176620 9.6,2021-05-04
80+,52652 13.3,9827 19.8,42825 11.8,2021-05-04
