Leeftijdsgroep,2021-08-10 00:00:00,2021-08-10 00:00:00,"Getest,",Date
0 - 3,2594 6.4,840 11.7,1754 3.8,2021-08-10
4 - 12,7609 15.2,2879 20.2,4730 12.2,2021-08-10
13 - 17,7108 20.8,2361 20.7,4747 20.8,2021-08-10
18 - 24,20003 19.0,5114 18.9,14889 19.1,2021-08-10
25 - 29,13904 14.1,3212 16.6,10692 13.4,2021-08-10
30 - 39,23263 12.0,4583 16.8,18680 10.8,2021-08-10
40 - 49,15130 11.8,3657 14.3,11473 10.9,2021-08-10
50 - 59,14757 9.6,3647 11.7,11110 8.9,2021-08-10
60 - 69,11608 7.4,1789 13.8,9819 6.2,2021-08-10
70 - 79,5514 5.7,671 14.8,4843 4.4,2021-08-10
80+,1705 8.3,235 13.2,1470 7.6,2021-08-10
0 - 3,33573 4.2,9917 8.1,23656 2.6,2021-08-10
4 - 12,222345 5.1,69245 8.4,153100 3.6,2021-08-10
13 - 17,143284 13.7,46338 15.3,96946 13.0,2021-08-10
18 - 24,359402 21.9,131995 20.4,227407 22.8,2021-08-10
25 - 29,199768 14.5,61340 15.0,138428 14.2,2021-08-10
30 - 39,300809 9.1,62810 12.8,237999 8.2,2021-08-10
40 - 49,212581 8.3,53781 10.8,158800 7.4,2021-08-10
50 - 59,193948 8.4,63169 9.9,130779 7.7,2021-08-10
60 - 69,109707 5.8,19858 10.0,89849 4.8,2021-08-10
70 - 79,44685 4.4,6424 8.4,38261 3.8,2021-08-10
80+,13217 6.2,1978 10.3,11239 5.5,2021-08-10
