Leeftijdsgroep,2021-05-18 00:00:00,2021-05-18 00:00:00,"Getest,",Date
0 - 3,4789 8.4,1887 13.7,2902 4.9,2021-05-18
4 - 12,23938 10.3,9335 15.9,14603 6.8,2021-05-18
13 - 17,15932 15.2,5882 17.7,10050 13.7,2021-05-18
18 - 24,42672 14.2,9644 14.0,33028 14.2,2021-05-18
25 - 29,25835 11.5,4432 13.2,21403 11.2,2021-05-18
30 - 39,47180 9.8,6847 15.3,40333 8.9,2021-05-18
40 - 49,36127 12.9,8231 16.1,27896 12.0,2021-05-18
50 - 59,38724 14.6,9990 15.9,28734 14.2,2021-05-18
60 - 69,24106 10.6,4603 14.9,19503 9.6,2021-05-18
70 - 79,10559 11.1,2461 15.5,8098 9.8,2021-05-18
80+,2607 8.7,697 11.5,1910 7.6,2021-05-18
0 - 3,87621 6.1,28108 11.0,59513 3.7,2021-05-18
4 - 12,890033 6.2,266333 10.9,623700 4.2,2021-05-18
13 - 17,320299 11.7,98839 16.4,221460 9.6,2021-05-18
18 - 24,680024 11.9,129896 15.2,550128 11.1,2021-05-18
25 - 29,474504 9.6,68061 13.8,406443 8.9,2021-05-18
30 - 39,1044848 7.8,127350 14.7,917498 6.8,2021-05-18
40 - 49,821711 9.9,144345 15.6,677366 8.6,2021-05-18
50 - 59,728119 12.5,147788 16.7,580331 11.4,2021-05-18
60 - 69,515555 10.2,82695 17.1,432860 8.9,2021-05-18
70 - 79,233916 11.4,38917 19.5,194999 9.8,2021-05-18
80+,58249 12.9,11232 18.9,47017 11.4,2021-05-18
