Leeftijdsgroep,2021-11-23 00:00:00,2021-11-23 00:00:00,"Getest,",Date
0 - 3,9992 12.8,2464 17.0,7528 11.4,2021-11-23
4 - 12,109959 26.2,35130 24.7,74829 26.9,2021-11-23
13 - 17,48838 17.9,14293 16.1,34545 18.7,2021-11-23
18 - 24,65312 18.8,20674 17.2,44638 19.6,2021-11-23
25 - 29,46615 20.1,13623 19.5,32992 20.4,2021-11-23
30 - 39,100421 20.8,27049 21.5,73372 20.6,2021-11-23
40 - 49,96245 21.3,26993 21.9,69252 21.1,2021-11-23
50 - 59,72500 21.9,19142 22.9,53358 21.6,2021-11-23
60 - 69,47688 25.4,11147 28.3,36541 24.6,2021-11-23
70 - 79,23642 30.1,4887 33.9,18755 29.1,2021-11-23
80+,8031 33.8,1403 34.9,6628 33.6,2021-11-23
0 - 3,53936 10.2,16759 15.6,37177 7.7,2021-11-23
4 - 12,474893 19.6,179353 20.6,295540 18.9,2021-11-23
13 - 17,260677 14.8,67236 17.4,193441 13.9,2021-11-23
18 - 24,460387 13.7,102691 17.0,357696 12.8,2021-11-23
25 - 29,332199 13.8,70920 18.0,261279 12.7,2021-11-23
30 - 39,619844 14.5,128744 19.6,491100 13.1,2021-11-23
40 - 49,517438 15.4,123855 19.4,393583 14.1,2021-11-23
50 - 59,445446 14.9,97166 19.6,348280 13.6,2021-11-23
60 - 69,315173 15.7,56712 24.2,258461 13.9,2021-11-23
70 - 79,161359 18.5,26713 28.5,134646 16.5,2021-11-23
80+,55243 21.4,8879 28.9,46364 20.0,2021-11-23
