Leeftijdsgroep,2021-09-07 00:00:00,2021-09-07 00:00:00,"Getest,",Date
0 - 3,2694 9.1,850 14.7,1844 6.5,2021-09-07
4 - 12,26132 11.5,11569 12.4,14563 10.9,2021-09-07
13 - 17,10552 14.0,2609 16.3,7943 13.2,2021-09-07
18 - 24,26456 9.2,3832 16.2,22624 8.0,2021-09-07
25 - 29,14368 10.7,2261 18.8,12107 9.2,2021-09-07
30 - 39,24142 11.7,3938 18.9,20204 10.3,2021-09-07
40 - 49,18520 11.6,3695 16.3,14825 10.4,2021-09-07
50 - 59,15231 10.0,2847 15.3,12384 8.7,2021-09-07
60 - 69,10396 9.1,1411 18.1,8985 7.7,2021-09-07
70 - 79,4977 8.2,556 18.5,4421 6.9,2021-09-07
80+,1588 9.9,191 19.4,1397 8.6,2021-09-07
0 - 3,42709 5.3,12941 9.7,29768 3.5,2021-09-07
4 - 12,273330 6.8,89519 10.2,183811 5.2,2021-09-07
13 - 17,174553 14.6,54705 16.1,119848 13.9,2021-09-07
18 - 24,448870 20.4,148547 20.2,300323 20.4,2021-09-07
25 - 29,248701 14.3,70890 15.4,177811 13.9,2021-09-07
30 - 39,383661 10.0,77091 13.9,306570 9.0,2021-09-07
40 - 49,273108 9.3,66349 12.0,206759 8.4,2021-09-07
50 - 59,249943 9.0,75147 10.7,174796 8.2,2021-09-07
60 - 69,149315 6.6,25505 11.6,123810 5.5,2021-09-07
70 - 79,64170 5.4,8612 10.7,55558 4.6,2021-09-07
80+,19827 7.4,2741 12.0,17086 6.6,2021-09-07
