Leeftijdsgroep,2021-11-30 00:00:00,2021-11-30 00:00:00,"Getest,",Date
0 - 3,14335 13.4,3267 17.9,11068 12.1,2021-11-30
4 - 12,127099 24.6,36237 23.6,90862 25.0,2021-11-30
13 - 17,53592 16.5,15779 14.8,37813 17.2,2021-11-30
18 - 24,59410 17.9,21217 16.6,38193 18.6,2021-11-30
25 - 29,43853 19.6,13909 19.6,29944 19.5,2021-11-30
30 - 39,108595 19.9,29496 21.7,79099 19.3,2021-11-30
40 - 49,105783 20.4,30483 21.3,75300 20.0,2021-11-30
50 - 59,73877 21.6,20069 22.8,53808 21.2,2021-11-30
60 - 69,48649 25.5,11397 29.1,37252 24.4,2021-11-30
70 - 79,23434 30.3,4680 33.9,18754 29.3,2021-11-30
80+,8307 33.3,1347 37.0,6960 32.6,2021-11-30
0 - 3,68556 10.9,20121 16.0,48435 8.7,2021-11-30
4 - 12,603593 20.6,216178 21.1,387415 20.4,2021-11-30
13 - 17,314801 15.1,83195 16.9,231606 14.4,2021-11-30
18 - 24,520332 14.2,124052 17.0,396280 13.4,2021-11-30
25 - 29,376460 14.5,84927 18.3,291533 13.4,2021-11-30
30 - 39,729187 15.3,158411 20.0,570776 14.0,2021-11-30
40 - 49,623990 16.3,154539 19.8,469451 15.1,2021-11-30
50 - 59,520114 15.9,117405 20.2,402709 14.6,2021-11-30
60 - 69,364669 17.1,68271 25.1,296398 15.2,2021-11-30
70 - 79,185497 20.0,31513 29.3,153984 18.1,2021-11-30
80+,64039 23.0,10302 29.9,53737 21.6,2021-11-30
