Leeftijdsgroep,2021-06-29 00:00:00,2021-06-29 00:00:00,"Getest,",Date
0 - 3,1940 2.4,337 7.1,1603 1.4,2021-06-29
4 - 12,20994 1.6,3697 5.1,17297 0.8,2021-06-29
13 - 17,15218 3.4,2699 6.2,12519 2.8,2021-06-29
18 - 24,15316 5.9,1583 9.9,13733 5.5,2021-06-29
25 - 29,10765 3.8,732 10.4,10033 3.3,2021-06-29
30 - 39,21980 2.8,1290 9.5,20690 2.3,2021-06-29
40 - 49,16951 2.9,1804 7.2,15147 2.4,2021-06-29
50 - 59,11796 3.8,1780 7.1,10016 3.2,2021-06-29
60 - 69,7279 2.0,680 6.2,6599 1.5,2021-06-29
70 - 79,2791 0.9,273 1.8,2518 0.8,2021-06-29
80+,781 1.9,91 11.0,690 0.7,2021-06-29
0 - 3,66801 5.8,21967 10.6,44834 3.4,2021-06-29
4 - 12,578735 5.9,189644 9.9,389091 3.9,2021-06-29
13 - 17,240124 11.2,74776 14.8,165348 9.6,2021-06-29
18 - 24,452057 12.5,87545 14.5,364512 12.0,2021-06-29
25 - 29,298769 9.9,42960 13.3,255809 9.3,2021-06-29
30 - 39,611999 8.1,77164 14.4,534835 7.2,2021-06-29
40 - 49,479270 10.5,93957 15.0,385313 9.5,2021-06-29
50 - 59,427142 12.9,93420 15.5,333722 12.1,2021-06-29
60 - 69,277348 9.9,46526 15.5,230822 8.8,2021-06-29
70 - 79,116115 11.5,22174 17.1,93941 10.2,2021-06-29
80+,25798 9.5,5956 12.9,19842 8.5,2021-06-29
