Leeftijdsgroep,2021-05-11 00:00:00,2021-05-11 00:00:00,"Getest,",Date
0 - 3,6150 6.9,2373 10.9,3777 4.4,2021-05-11
4 - 12,33035 9.4,13036 13.5,19999 6.7,2021-05-11
13 - 17,18038 17.3,6615 19.3,11423 16.1,2021-05-11
18 - 24,55201 14.5,10969 14.9,44232 14.4,2021-05-11
25 - 29,34439 11.5,5353 13.9,29086 11.0,2021-05-11
30 - 39,61256 10.0,8321 15.6,52935 9.1,2021-05-11
40 - 49,48246 12.6,10195 16.0,38051 11.7,2021-05-11
50 - 59,49930 14.0,11140 16.2,38790 13.4,2021-05-11
60 - 69,30490 11.6,5398 17.0,25092 10.5,2021-05-11
70 - 79,12969 13.2,2698 16.4,10271 12.3,2021-05-11
80+,2989 9.7,707 12.7,2282 8.8,2021-05-11
0 - 3,82833 5.9,26221 10.8,56612 3.6,2021-05-11
4 - 12,866092 6.1,256995 10.7,609097 4.1,2021-05-11
13 - 17,304365 11.5,92955 16.3,211410 9.4,2021-05-11
18 - 24,637351 11.8,120252 15.3,517099 10.9,2021-05-11
25 - 29,448670 9.5,63630 13.9,385040 8.8,2021-05-11
30 - 39,997666 7.7,120501 14.7,877165 6.7,2021-05-11
40 - 49,785584 9.7,136113 15.6,649471 8.5,2021-05-11
50 - 59,689394 12.4,137799 16.7,551595 11.3,2021-05-11
60 - 69,491444 10.2,78091 17.2,413353 8.9,2021-05-11
70 - 79,223353 11.4,36456 19.8,186897 9.8,2021-05-11
80+,55642 13.1,10535 19.4,45107 11.6,2021-05-11
