Leeftijdsgroep,2021-10-05 00:00:00,2021-10-05 00:00:00,"Getest,",Date
0 - 3,1931 7.5,527 15.6,1404 4.4,2021-10-05
4 - 12,15455 11.4,4562 18.6,10893 8.4,2021-10-05
13 - 17,12824 7.5,1826 15.2,10998 6.2,2021-10-05
18 - 24,17731 6.8,1438 16.1,16293 6.0,2021-10-05
25 - 29,13356 7.0,897 16.5,12459 6.3,2021-10-05
30 - 39,24117 7.8,2126 17.5,21991 6.8,2021-10-05
40 - 49,19418 8.0,2523 16.8,16895 6.7,2021-10-05
50 - 59,15179 7.8,1588 17.8,13591 6.7,2021-10-05
60 - 69,10189 8.5,864 23.3,9325 7.1,2021-10-05
70 - 79,4781 8.7,421 23.8,4360 7.2,2021-10-05
80+,1437 11.8,126 27.8,1311 10.3,2021-10-05
0 - 3,20793 8.4,6756 14.3,14037 5.6,2021-10-05
4 - 12,163196 11.2,64930 13.4,98266 9.7,2021-10-05
13 - 17,101386 11.7,21174 16.9,80212 10.3,2021-10-05
18 - 24,185046 11.9,31017 17.8,154029 10.7,2021-10-05
25 - 29,116652 11.1,19039 17.3,97613 9.9,2021-10-05
30 - 39,204467 10.6,31765 17.6,172702 9.4,2021-10-05
40 - 49,157043 10.4,30245 15.9,126798 9.1,2021-10-05
50 - 59,132138 9.3,24175 14.8,107963 8.0,2021-10-05
60 - 69,90999 8.2,11721 17.3,79278 6.8,2021-10-05
70 - 79,44444 7.5,4807 18.4,39637 6.2,2021-10-05
80+,14774 9.8,1711 18.9,13063 8.6,2021-10-05
