Leeftijdsgroep,2021-12-14 00:00:00,2021-12-14 00:00:00,"Getest,",Date
0 - 3,11528 17.0,3368 20.7,8160 15.5,2021-12-14
4 - 12,84341 27.9,29151 24.6,55190 29.6,2021-12-14
13 - 17,31917 18.6,11161 15.6,20756 20.3,2021-12-14
18 - 24,40791 19.3,16223 17.8,24568 20.3,2021-12-14
25 - 29,32504 19.8,11090 20.0,21414 19.8,2021-12-14
30 - 39,79161 21.5,25099 23.3,54062 20.7,2021-12-14
40 - 49,70531 22.8,24339 22.8,46192 22.8,2021-12-14
50 - 59,47376 24.5,15061 23.9,32315 24.7,2021-12-14
60 - 69,33048 27.2,9141 29.5,23907 26.3,2021-12-14
70 - 79,16610 29.9,3764 31.2,12846 29.5,2021-12-14
80+,5731 32.4,924 37.0,4807 31.5,2021-12-14
0 - 3,77409 12.9,21203 17.9,56206 11.0,2021-12-14
4 - 12,685368 23.7,225495 24.0,459873 23.6,2021-12-14
13 - 17,323980 15.8,92678 16.2,231302 15.7,2021-12-14
18 - 24,465436 15.5,132769 16.8,332667 15.0,2021-12-14
25 - 29,359868 16.1,92397 18.9,267471 15.1,2021-12-14
30 - 39,756482 17.4,186084 21.1,570398 16.1,2021-12-14
40 - 49,674255 18.4,184354 21.1,489901 17.4,2021-12-14
50 - 59,531453 18.6,131107 22.0,400346 17.5,2021-12-14
60 - 69,370297 20.7,78579 27.3,291718 18.9,2021-12-14
70 - 79,188565 24.4,36130 31.4,152435 22.7,2021-12-14
80+,65410 27.5,11092 32.9,54318 26.3,2021-12-14
