Groep,Aantal %,nan,Aantal %,"Getest,",Date
Groep,Aantal %,,Aantal %,Aantal %,2021-05-04
Kinderen in de kinderopvang (0-4 jaar)2,3261 2.7,,763 6.8,2498 1.5,2021-05-04
BSO (3-15 jaar)2,,,,,2021-05-04
Basisschool- en BSO personeel (16+)2,142634 6.2,,23644 9.3,118990 5.5,2021-05-04
Voortgezet onderwijsleerlingen (12-19,13450 10.0,,2464 13.3,10986 9.2,2021-05-04
Hoger onderwijsleerlingen (16-24 jaar)2,35781 8.5,,2539 12.7,33242 8.2,2021-05-04
Zorgmedewerkers verpleeg- of,83036 7.7,,19830 9.6,63206 7.1,2021-05-04
Overige niet-contact beroepen,779080 10.1,,136377 16.2,642703 8.8,2021-05-04
