Leeftijdsgroep,Date
0-4 135 6030 2.2 126 4835 2.6,2020-10-27
5-9 583 24414 2.4 546 21150 2.6,2020-10-27
10-14 3372 85272 4.0 3241 73052 4.4,2020-10-27
15-19 10058 131870 7.6 11284 145140 7.8,2020-10-27
20-24 14543 136884 10.6 15643 177427 8.8,2020-10-27
25-29 11726 132831 8.8 12192 181481 6.7,2020-10-27
30-34 9403 136051 6.9 10013 192023 5.2,2020-10-27
35-39 7732 126157 6.1 8789 173361 5.1,2020-10-27
40-44 7323 105377 6.9 8816 143359 6.1,2020-10-27
45-49 8299 92145 9.0 9708 125063 7.8,2020-10-27
50-54 9679 89149 10.9 10442 117405 8.9,2020-10-27
55-59 8709 77999 11.2 8276 103145 8.0,2020-10-27
60-64 6476 67287 9.6 5782 86898 6.7,2020-10-27
65-69 3832 49992 7.7 3612 59118 6.1,2020-10-27
70-74 2889 37061 7.8 2699 39609 6.8,2020-10-27
75-79 1506 18631 8.1 1486 20362 7.3,2020-10-27
80-84 814 9793 8.3 894 11020 8.1,2020-10-27
85-89 314 3844 8.2 463 4857 9.5,2020-10-27
90-94 99 983 10.1 170 1625 10.5,2020-10-27
95+ 116 421 27.6 121 601 20.1,2020-10-27
