Leeftijdsgroep,2021-07-27 00:00:00,2021-07-27 00:00:00,"Getest,",Date
0 - 3,6070 4.9,2018 8.0,4052 3.3,2021-07-27
4 - 12,32314 7.9,12093 10.5,20221 6.4,2021-07-27
13 - 17,25159 17.7,7900 19.0,17259 17.1,2021-07-27
18 - 24,48328 19.5,16156 17.4,32172 20.6,2021-07-27
25 - 29,30574 13.9,9900 13.7,20674 14.1,2021-07-27
30 - 39,49456 11.0,12546 13.2,36910 10.2,2021-07-27
40 - 49,38173 10.0,10898 11.7,27275 9.3,2021-07-27
50 - 59,34584 9.6,11672 10.6,22912 9.1,2021-07-27
60 - 69,19123 7.7,3838 11.6,15285 6.7,2021-07-27
70 - 79,8227 6.1,1301 11.1,6926 5.1,2021-07-27
80+,2473 8.7,368 12.8,2105 8.0,2021-07-27
0 - 3,87130 5.4,28089 9.9,59041 3.2,2021-07-27
4 - 12,708298 5.7,229996 9.6,478302 3.9,2021-07-27
13 - 17,342457 11.9,103762 15.4,238695 10.4,2021-07-27
18 - 24,751836 16.5,199083 18.3,552753 15.8,2021-07-27
25 - 29,447336 11.8,93292 14.3,354044 11.1,2021-07-27
30 - 39,809458 8.5,122431 13.6,687027 7.5,2021-07-27
40 - 49,629788 9.8,129339 13.8,500449 8.8,2021-07-27
50 - 59,567163 11.7,139806 13.7,427357 11.0,2021-07-27
60 - 69,343015 9.2,59279 14.3,283736 8.1,2021-07-27
70 - 79,140852 10.3,25783 15.9,115069 9.0,2021-07-27
80+,32773 8.9,6999 12.3,25774 7.9,2021-07-27
