Groep,Aantal %,nan,Aantal %,"Getest,",Date
Groep,Aantal %,,Aantal %,Aantal %,2021-06-01
Kinderen in de kinderopvang (0-4 jaar)2,2235 2.3,,482 5.0,1753 1.5,2021-06-01
BSO (3-15 jaar)2,,,,,2021-06-01
Basisschool- en BSO personeel (16+)2,62315 7.8,,12773 9.9,49542 7.2,2021-06-01
Voortgezet onderwijsleerlingen (12-19,7507 12.0,,1336 14.3,6171 11.5,2021-06-01
Hoger onderwijsleerlingen (16-24 jaar)2,19777 10.3,,1438 13.8,18339 10.1,2021-06-01
Zorgmedewerkers verpleeg- of,44921 7.3,,11377 8.9,33544 6.8,2021-06-01
Overige niet-contact beroepen,439517 11.8,,86259 16.0,353258 10.8,2021-06-01
