Leeftijdsgroep,2021-06-22 00:00:00,2021-06-22 00:00:00,"Getest,",Date
0 - 3,2213 2.5,525 7.0,1688 1.1,2021-06-22
4 - 12,25681 2.3,5892 5.6,19789 1.3,2021-06-22
13 - 17,16495 5.0,3707 8.6,12788 3.9,2021-06-22
18 - 24,16196 8.3,2692 13.4,13504 7.3,2021-06-22
25 - 29,10662 4.7,944 9.0,9718 4.3,2021-06-22
30 - 39,22421 3.6,1821 9.2,20600 3.1,2021-06-22
40 - 49,16766 4.4,2671 9.0,14095 3.5,2021-06-22
50 - 59,12104 5.1,2561 6.9,9543 4.6,2021-06-22
60 - 69,7153 3.0,819 7.1,6334 2.5,2021-06-22
70 - 79,2784 2.0,348 4.0,2436 1.7,2021-06-22
80+,788 2.0,95 5.3,693 1.6,2021-06-22
0 - 3,64861 5.9,21630 10.7,43231 3.5,2021-06-22
4 - 12,557740 6.0,185946 10.0,371794 4.0,2021-06-22
13 - 17,224911 11.7,72077 15.1,152834 10.2,2021-06-22
18 - 24,436737 12.7,85962 14.6,350775 12.3,2021-06-22
25 - 29,288003 10.1,42227 13.4,245776 9.6,2021-06-22
30 - 39,590020 8.3,75874 14.4,514146 7.4,2021-06-22
40 - 49,462317 10.8,92153 15.1,370164 9.7,2021-06-22
50 - 59,415343 13.1,91640 15.7,323703 12.4,2021-06-22
60 - 69,270068 10.2,45846 15.6,224222 9.0,2021-06-22
70 - 79,113324 11.8,21901 17.3,91423 10.4,2021-06-22
80+,25017 9.8,5865 12.9,19152 8.8,2021-06-22
