Groep,Aantal %,nan,Aantal %,"Getest,",Date
Groep,Aantal %,,Aantal %,Aantal %,2021-06-08
Kinderen in de kinderopvang (0-4 jaar)2,2261 2.3,,488 5.1,1773 1.5,2021-06-08
BSO (3-15 jaar)2,,,,,2021-06-08
Basisschool- en BSO personeel (16+)2,67964 7.6,,13922 9.7,54042 7.0,2021-06-08
Voortgezet onderwijsleerlingen (12-19,7599 11.9,,1347 14.3,6252 11.4,2021-06-08
Hoger onderwijsleerlingen (16-24 jaar)2,19868 10.3,,1448 13.9,18420 10.0,2021-06-08
Zorgmedewerkers verpleeg- of,47698 7.2,,11993 8.9,35705 6.6,2021-06-08
Overige niet-contact beroepen,467242 11.6,,91649 15.8,375593 10.6,2021-06-08
