Groep,Aantal %,nan,Aantal %,"Getest,",Date
Groep,Aantal %,,Aantal %,Aantal %,2021-05-25
Kinderen in de kinderopvang (0-4 jaar)2,3615 2.7,,845 6.9,2770 1.5,2021-05-25
BSO (3-15 jaar)2,,,,,2021-05-25
Basisschool- en BSO personeel (16+)2,155240 6.4,,26139 9.5,129101 5.8,2021-05-25
Voortgezet onderwijsleerlingen (12-19,14733 10.3,,2649 13.3,12084 9.7,2021-05-25
Hoger onderwijsleerlingen (16-24 jaar)2,38949 8.8,,2799 12.7,36150 8.5,2021-05-25
Zorgmedewerkers verpleeg- of,97475 7.7,,23629 9.4,73846 7.1,2021-05-25
Overige niet-contact beroepen,919325 10.5,,166266 16.1,753059 9.2,2021-05-25
