Leeftijdsgroep,2021-07-20 00:00:00,2021-07-20 00:00:00,"Getest,",Date
0 - 3,7417 4.1,2532 6.7,4885 2.7,2021-07-20
4 - 12,45189 5.7,17225 7.2,27964 4.8,2021-07-20
13 - 17,36704 16.7,12590 17.7,24114 16.2,2021-07-20
18 - 24,106189 24.1,45332 19.9,60857 27.3,2021-07-20
25 - 29,57904 17.6,23488 14.9,34416 19.5,2021-07-20
30 - 39,70289 11.4,21007 12.0,49282 11.1,2021-07-20
40 - 49,53301 9.1,15375 10.9,37926 8.4,2021-07-20
50 - 59,52206 9.7,20470 10.6,31736 9.2,2021-07-20
60 - 69,22319 7.5,5440 10.4,16879 6.5,2021-07-20
70 - 79,8148 5.4,1378 8.8,6770 4.8,2021-07-20
80+,2421 6.9,420 8.6,2001 6.5,2021-07-20
0 - 3,81056 5.4,26070 10.0,54986 3.2,2021-07-20
4 - 12,675976 5.6,217899 9.5,458077 3.8,2021-07-20
13 - 17,317287 11.5,95858 15.1,221429 9.9,2021-07-20
18 - 24,703489 16.2,182919 18.4,520570 15.5,2021-07-20
25 - 29,416759 11.6,83390 14.4,333369 10.9,2021-07-20
30 - 39,759997 8.3,109883 13.7,650114 7.4,2021-07-20
40 - 49,591599 9.8,118436 14.0,473163 8.7,2021-07-20
50 - 59,532573 11.8,128130 14.0,404443 11.1,2021-07-20
60 - 69,323886 9.3,55440 14.5,268446 8.2,2021-07-20
70 - 79,132628 10.5,24482 16.1,108146 9.3,2021-07-20
80+,30300 8.9,6631 12.3,23669 7.9,2021-07-20
