Leeftijdsgroep,2021-07-13 00:00:00,2021-07-13 00:00:00,"Getest,",Date
0 - 3,4458 3.3,1169 6.4,3289 2.2,2021-07-13
4 - 12,32621 3.5,7935 6.9,24686 2.4,2021-07-13
13 - 17,27424 9.9,6350 15.3,21074 8.3,2021-07-13
18 - 24,112884 25.3,45038 23.9,67846 26.2,2021-07-13
25 - 29,44462 17.6,15357 16.8,29105 18.0,2021-07-13
30 - 39,50838 8.6,9848 12.2,40990 7.7,2021-07-13
40 - 49,39194 5.3,7134 9.7,32060 4.3,2021-07-13
50 - 59,37269 6.1,11909 8.7,25360 4.9,2021-07-13
60 - 69,15180 3.9,2741 7.2,12439 3.1,2021-07-13
70 - 79,5116 2.4,629 3.8,4487 2.3,2021-07-13
80+,1342 3.7,191 5.8,1151 3.3,2021-07-13
0 - 3,73594 5.5,23518 10.4,50076 3.2,2021-07-13
4 - 12,630329 5.6,200479 9.7,429850 3.7,2021-07-13
13 - 17,280181 10.8,83152 14.7,197029 9.1,2021-07-13
18 - 24,596298 14.8,137205 17.8,459093 13.9,2021-07-13
25 - 29,358549 10.7,59796 14.2,298753 9.9,2021-07-13
30 - 39,689212 8.0,88785 14.1,600427 7.1,2021-07-13
40 - 49,537827 9.9,102966 14.5,434861 8.8,2021-07-13
50 - 59,479789 12.0,107456 14.6,372333 11.3,2021-07-13
60 - 69,301349 9.4,49965 14.9,251384 8.3,2021-07-13
70 - 79,124414 10.9,23097 16.6,101317 9.6,2021-07-13
80+,27862 9.0,6208 12.6,21654 8.0,2021-07-13
