Leeftijdsgroep,2021-08-24 00:00:00,2021-08-24 00:00:00,"Getest,",Date
0 - 3,1876 9.7,629 13.8,1247 7.6,2021-08-24
4 - 12,6855 19.0,2106 26.4,4749 15.8,2021-08-24
13 - 17,7008 21.4,1843 24.5,5165 20.3,2021-08-24
18 - 24,22904 14.6,3976 21.3,18928 13.2,2021-08-24
25 - 29,10981 15.5,2297 19.5,8684 14.4,2021-08-24
30 - 39,18456 14.0,3203 19.0,15253 12.9,2021-08-24
40 - 49,13628 13.8,2815 17.8,10813 12.8,2021-08-24
50 - 59,13438 10.9,2948 13.7,10490 10.1,2021-08-24
60 - 69,9575 8.5,1335 16.5,8240 7.3,2021-08-24
70 - 79,4784 6.7,510 13.9,4274 5.8,2021-08-24
80+,1767 9.8,206 14.1,1561 9.3,2021-08-24
0 - 3,37513 4.7,11260 8.7,26253 3.0,2021-08-24
4 - 12,234867 5.8,73338 9.3,161529 4.3,2021-08-24
13 - 17,156296 14.4,50017 15.8,106279 13.7,2021-08-24
18 - 24,400329 21.5,140591 20.4,259738 22.0,2021-08-24
25 - 29,222219 14.6,66281 15.2,155938 14.3,2021-08-24
30 - 39,338504 9.6,69527 13.3,268977 8.7,2021-08-24
40 - 49,238691 8.8,59347 11.5,179344 8.0,2021-08-24
50 - 59,220546 8.8,69346 10.2,151200 8.1,2021-08-24
60 - 69,129026 6.2,22673 10.8,106353 5.2,2021-08-24
70 - 79,54245 4.9,7501 9.5,46744 4.1,2021-08-24
80+,16592 6.9,2376 11.2,14216 6.1,2021-08-24
