Leeftijdsgroep,Date
0-4 227 6957 3.3 216 5667 3.8,2020-11-24
5-9 1259 27738 4.5 1106 24127 4.6,2020-11-24
10-14 7087 109056 6.5 6820 94874 7.2,2020-11-24
15-19 16990 172790 9.8 18683 193151 9.7,2020-11-24
20-24 21075 178368 11.8 23337 233418 10.0,2020-11-24
25-29 17916 176484 10.2 18914 241851 7.8,2020-11-24
30-34 14927 183610 8.1 16431 259559 6.3,2020-11-24
35-39 12793 170846 7.5 14928 235713 6.3,2020-11-24
40-44 12358 143000 8.6 15076 195766 7.7,2020-11-24
45-49 14311 125609 11.4 16899 171772 9.8,2020-11-24
50-54 16889 123476 13.7 17953 162734 11.0,2020-11-24
55-59 15230 109033 14.0 14561 143750 10.1,2020-11-24
60-64 11414 94092 12.1 10478 120413 8.7,2020-11-24
65-69 7170 69613 10.3 6809 81689 8.3,2020-11-24
70-74 5425 50706 10.7 5142 54204 9.5,2020-11-24
75-79 2869 25253 11.4 2998 27946 10.7,2020-11-24
80-84 1701 13396 12.7 1851 15411 12.0,2020-11-24
85-89 698 5380 13.0 954 7075 13.5,2020-11-24
90-94 197 1454 13.5 372 2509 14.8,2020-11-24
95+ 254 757 33.6 271 1072 25.3,2020-11-24
