Leeftijdsgroep,2021-08-03 00:00:00,2021-08-03 00:00:00,"Getest,",Date
0 - 3,3580 6.1,1115 10.3,2465 4.2,2021-08-03
4 - 12,16503 9.8,5325 14.3,11178 7.6,2021-08-03
13 - 17,16217 15.2,4170 20.1,12047 13.5,2021-08-03
18 - 24,30348 16.3,7959 16.6,22389 16.3,2021-08-03
25 - 29,19848 12.2,4708 14.2,15140 11.6,2021-08-03
30 - 39,34831 10.1,6767 15.1,28064 8.8,2021-08-03
40 - 49,25140 9.3,6156 12.2,18984 8.4,2021-08-03
50 - 59,22324 8.1,5649 10.8,16675 7.2,2021-08-03
60 - 69,14908 6.3,2413 11.8,12495 5.3,2021-08-03
70 - 79,6970 5.8,910 10.1,6060 5.1,2021-08-03
80+,2315 7.9,324 14.5,1991 6.9,2021-08-03
0 - 3,90710 5.4,29204 9.9,61506 3.2,2021-08-03
4 - 12,724802 5.8,235321 9.7,489481 4.0,2021-08-03
13 - 17,358673 12.1,107932 15.6,250741 10.6,2021-08-03
18 - 24,782186 16.5,207042 18.2,575144 15.8,2021-08-03
25 - 29,467186 11.8,98000 14.3,369186 11.1,2021-08-03
30 - 39,844289 8.5,129198 13.7,715091 7.6,2021-08-03
40 - 49,654929 9.8,135494 13.7,519435 8.8,2021-08-03
50 - 59,589484 11.5,145454 13.6,444030 10.9,2021-08-03
60 - 69,357922 9.1,61690 14.2,296232 8.0,2021-08-03
70 - 79,147823 10.0,26693 15.7,121130 8.8,2021-08-03
80+,35089 8.8,7323 12.4,27766 7.8,2021-08-03
