Groep,Aantal %,nan,Aantal %,"Getest,",Date
Groep,Aantal %,,Aantal %,Aantal %,2021-04-27
Kinderen in de kinderopvang (0-4 jaar)2,2851 2.8,,669 7.3,2182 1.5,2021-04-27
BSO (3-15 jaar)2,,,,,2021-04-27
Basisschool- en BSO personeel (16+)2,133198 6.0,,21614 9.1,111584 5.4,2021-04-27
Voortgezet onderwijsleerlingen (12-19,12176 9.7,,2208 13.0,9968 9.0,2021-04-27
Hoger onderwijsleerlingen (16-24 jaar)2,32470 8.1,,2277 12.5,30193 7.7,2021-04-27
Zorgmedewerkers verpleeg- of,76770 7.7,,18243 9.7,58527 7.0,2021-04-27
Overige niet-contact beroepen,720037 9.9,,124495 16.2,595542 8.6,2021-04-27
