Leeftijdsgroep,2021-05-25 00:00:00,2021-05-25 00:00:00,"Getest,",Date
0 - 3,3858 8.7,1499 15.5,2359 4.5,2021-05-25
4 - 12,29803 6.9,11001 10.9,18802 4.6,2021-05-25
13 - 17,14826 12.8,5064 16.3,9762 11.0,2021-05-25
18 - 24,35901 12.9,8211 13.3,27690 12.7,2021-05-25
25 - 29,22478 10.2,3777 12.8,18701 9.7,2021-05-25
30 - 39,41406 8.7,5541 14.7,35865 7.8,2021-05-25
40 - 49,31464 11.2,6491 15.6,24973 10.0,2021-05-25
50 - 59,31207 12.9,7660 14.1,23547 12.6,2021-05-25
60 - 69,18456 9.2,3377 14.1,15079 8.2,2021-05-25
70 - 79,7686 8.8,1650 13.1,6036 7.6,2021-05-25
80+,1976 8.0,444 10.6,1532 7.2,2021-05-25
0 - 3,91482 6.2,29609 11.2,61873 3.7,2021-05-25
4 - 12,919858 6.2,277341 10.9,642517 4.2,2021-05-25
13 - 17,335140 11.8,103909 16.4,231231 9.7,2021-05-25
18 - 24,715955 12.0,138113 15.1,577842 11.2,2021-05-25
25 - 29,497000 9.6,71841 13.8,425159 8.9,2021-05-25
30 - 39,1086284 7.8,132892 14.7,953392 6.9,2021-05-25
40 - 49,853196 9.9,150839 15.6,702357 8.7,2021-05-25
50 - 59,759356 12.5,155457 16.5,603899 11.5,2021-05-25
60 - 69,534033 10.2,86073 17.0,447960 8.9,2021-05-25
70 - 79,241610 11.3,40567 19.3,201043 9.7,2021-05-25
80+,60226 12.7,11676 18.6,48550 11.3,2021-05-25
