Leeftijdsgroep,2021-11-16 00:00:00,2021-11-16 00:00:00,"Getest,",Date
0 - 3,7492 11.7,2494 16.2,4998 9.4,2021-11-16
4 - 12,76671 24.9,31221 24.5,45450 25.1,2021-11-16
13 - 17,36585 17.6,11687 17.0,24898 17.9,2021-11-16
18 - 24,56506 16.9,17783 16.7,38723 17.0,2021-11-16
25 - 29,44826 17.4,13364 17.6,31462 17.3,2021-11-16
30 - 39,91400 18.2,25481 20.1,65919 17.4,2021-11-16
40 - 49,82473 18.7,24678 19.8,57795 18.2,2021-11-16
50 - 59,71246 18.7,19057 21.0,52189 17.8,2021-11-16
60 - 69,50639 20.9,11757 25.5,38882 19.5,2021-11-16
70 - 79,26976 24.4,5694 29.6,21282 23.0,2021-11-16
80+,9321 27.5,1723 32.0,7598 26.4,2021-11-16
0 - 3,43940 9.6,14295 15.4,29645 6.8,2021-11-16
4 - 12,364872 17.6,144205 19.6,220667 16.2,2021-11-16
13 - 17,211811 14.0,52935 17.8,158876 12.8,2021-11-16
18 - 24,395040 12.9,82007 16.9,313033 11.8,2021-11-16
25 - 29,285550 12.8,57287 17.6,228263 11.5,2021-11-16
30 - 39,519383 13.2,101682 19.0,417701 11.8,2021-11-16
40 - 49,421147 14.0,96846 18.7,324301 12.6,2021-11-16
50 - 59,372909 13.5,78011 18.8,294898 12.2,2021-11-16
60 - 69,267457 14.0,45558 23.2,221899 12.1,2021-11-16
70 - 79,137696 16.5,21823 27.3,115873 14.5,2021-11-16
80+,47205 19.3,7475 27.7,39730 17.8,2021-11-16
