Leeftijdsgroep,Date
0-4 203 6714 3.0 196 5463 3.6,2020-11-17
5-9 1095 26754 4.1 950 23272 4.1,2020-11-17
10-14 6068 101831 6.0 5784 88210 6.6,2020-11-17
15-19 15366 162187 9.5 17013 180407 9.4,2020-11-17
20-24 19912 169683 11.7 21972 221004 9.9,2020-11-17
25-29 16813 167091 10.1 17692 228268 7.8,2020-11-17
30-34 13945 172919 8.1 15259 243708 6.3,2020-11-17
35-39 11811 160322 7.4 13696 220660 6.2,2020-11-17
40-44 11347 133951 8.5 13761 182619 7.5,2020-11-17
45-49 13110 117732 11.1 15465 160539 9.6,2020-11-17
50-54 15503 115627 13.4 16491 152168 10.8,2020-11-17
55-59 14039 102068 13.8 13371 134184 10.0,2020-11-17
60-64 10511 87785 12.0 9614 112237 8.6,2020-11-17
65-69 6595 64862 10.2 6231 76044 8.2,2020-11-17
70-74 4949 47276 10.5 4676 50663 9.2,2020-11-17
75-79 2588 23551 11.0 2743 26183 10.5,2020-11-17
80-84 1546 12524 12.3 1672 14387 11.6,2020-11-17
85-89 618 5015 12.3 853 6572 13.0,2020-11-17
90-94 182 1337 13.6 335 2343 14.3,2020-11-17
95+ 233 691 33.7 250 974 25.7,2020-11-17
