Leeftijdsgroep,2021-09-28 00:00:00,2021-09-28 00:00:00,"Getest,",Date
0 - 3,1785 8.2,496 16.9,1289 4.9,2021-09-28
4 - 12,19688 10.2,5923 16.4,13765 7.4,2021-09-28
13 - 17,16656 6.0,2331 12.3,14325 5.0,2021-09-28
18 - 24,18489 6.8,2050 14.6,16439 5.8,2021-09-28
25 - 29,13290 6.5,1304 14.9,11986 5.6,2021-09-28
30 - 39,24330 7.3,2728 16.3,21602 6.1,2021-09-28
40 - 49,20591 7.5,3248 16.3,17343 5.8,2021-09-28
50 - 59,15491 7.0,1962 17.0,13529 5.6,2021-09-28
60 - 69,9759 7.1,968 20.6,8791 5.6,2021-09-28
70 - 79,4664 7.8,449 24.3,4215 6.1,2021-09-28
80+,1626 11.0,222 27.9,1404 8.3,2021-09-28
0 - 3,18862 8.6,6229 14.2,12633 5.8,2021-09-28
4 - 12,147740 11.1,60368 13.0,87372 9.8,2021-09-28
13 - 17,88561 12.3,19347 17.1,69214 10.9,2021-09-28
18 - 24,167315 12.5,29579 17.9,137736 11.3,2021-09-28
25 - 29,103295 11.6,18142 17.4,85153 10.4,2021-09-28
30 - 39,180347 11.0,29639 17.6,150708 9.7,2021-09-28
40 - 49,137624 10.7,27722 15.8,109902 9.5,2021-09-28
50 - 59,116959 9.5,22587 14.5,94372 8.2,2021-09-28
60 - 69,80808 8.1,10857 16.8,69951 6.8,2021-09-28
70 - 79,39662 7.4,4386 17.9,35276 6.1,2021-09-28
80+,13337 9.5,1585 18.2,11752 8.4,2021-09-28
