Leeftijdsgroep,2021-06-08 00:00:00,2021-06-08 00:00:00,"Getest,",Date
0 - 3,3926 5.1,1406 9.0,2520 2.9,2021-06-08
4 - 12,47270 4.3,15038 7.9,32232 2.6,2021-06-08
13 - 17,14336 10.3,4678 12.6,9658 9.2,2021-06-08
18 - 24,21000 10.3,4230 12.9,16770 9.7,2021-06-08
25 - 29,14332 7.4,2134 11.2,12198 6.8,2021-06-08
30 - 39,33036 6.3,4275 12.1,28761 5.4,2021-06-08
40 - 49,25907 8.2,5408 12.2,20499 7.2,2021-06-08
50 - 59,18206 10.4,4321 12.4,13885 9.7,2021-06-08
60 - 69,11763 5.8,2020 10.0,9743 5.0,2021-06-08
70 - 79,4189 4.9,726 7.6,3463 4.4,2021-06-08
80+,1208 4.4,222 7.2,986 3.8,2021-06-08
0 - 3,59543 6.1,20127 10.9,39416 3.7,2021-06-08
4 - 12,493879 6.5,168951 10.4,324928 4.4,2021-06-08
13 - 17,192417 12.8,63951 16.0,128466 11.2,2021-06-08
18 - 24,402326 13.1,80160 14.8,322166 12.6,2021-06-08
25 - 29,264990 10.6,39874 13.5,225116 10.0,2021-06-08
30 - 39,539271 8.7,70979 14.7,468292 7.8,2021-06-08
40 - 49,424572 11.3,85368 15.6,339204 10.2,2021-06-08
50 - 59,388826 13.6,85925 16.2,302901 12.8,2021-06-08
60 - 69,253888 10.6,43617 16.1,210271 9.4,2021-06-08
70 - 79,107269 12.3,20940 17.9,86329 10.9,2021-06-08
80+,23300 10.3,5579 13.2,17721 9.4,2021-06-08
