Leeftijdsgroep,2021-11-02 00:00:00,2021-11-02 00:00:00,"Getest,",Date
0 - 3,1715 12.8,558 21.0,1157 8.9,2021-11-02
4 - 12,14746 21.9,5934 24.4,8812 20.3,2021-11-02
13 - 17,12034 12.3,3704 13.6,8330 11.7,2021-11-02
18 - 24,29596 10.2,7625 11.5,21971 9.7,2021-11-02
25 - 29,25357 9.7,6055 12.0,19302 9.0,2021-11-02
30 - 39,46143 10.5,10163 13.9,35980 9.5,2021-11-02
40 - 49,36684 11.5,9113 14.6,27571 10.6,2021-11-02
50 - 59,34813 11.8,7658 15.4,27155 10.7,2021-11-02
60 - 69,25355 13.1,4650 20.6,20705 11.5,2021-11-02
70 - 79,11368 19.7,2128 28.5,9240 17.7,2021-11-02
80+,2774 30.2,570 33.9,2204 29.3,2021-11-02
0 - 3,29459 8.8,9475 15.0,19984 5.9,2021-11-02
4 - 12,233125 13.5,90990 16.1,142135 11.8,2021-11-02
13 - 17,146280 12.1,32696 16.9,113584 10.7,2021-11-02
18 - 24,290662 11.1,50626 16.0,240036 10.1,2021-11-02
25 - 29,201618 10.5,33426 16.1,168192 9.3,2021-11-02
30 - 39,352460 10.5,57287 16.9,295173 9.3,2021-11-02
40 - 49,272520 11.0,54602 16.3,217918 9.6,2021-11-02
50 - 59,236444 10.3,43623 16.0,192821 9.0,2021-11-02
60 - 69,165020 10.0,23415 19.8,141605 8.4,2021-11-02
70 - 79,78942 11.8,10426 23.9,68516 9.9,2021-11-02
80+,25211 14.9,3428 25.0,21783 13.3,2021-11-02
