Leeftijdsgroep,2021-12-21 00:00:00,2021-12-21 00:00:00,"Getest,",Date
0 - 3,9399 17.0,2741 23.3,6658 14.4,2021-12-21
4 - 12,60539 29.9,21384 26.2,39155 31.9,2021-12-21
13 - 17,25968 19.6,9356 16.3,16612 21.4,2021-12-21
18 - 24,36777 20.5,14324 18.8,22453 21.6,2021-12-21
25 - 29,29981 21.2,10239 21.5,19742 21.1,2021-12-21
30 - 39,68667 21.7,21037 23.5,47630 20.9,2021-12-21
40 - 49,59030 23.0,20204 23.2,38826 22.9,2021-12-21
50 - 59,42140 24.9,13092 24.7,29048 25.0,2021-12-21
60 - 69,29144 26.3,7674 29.9,21470 25.0,2021-12-21
70 - 79,14110 29.3,3044 32.4,11066 28.5,2021-12-21
80+,4648 28.9,774 28.0,3874 29.0,2021-12-21
0 - 3,86809 13.3,23945 18.5,62864 11.3,2021-12-21
4 - 12,745924 24.2,246884 24.2,499040 24.2,2021-12-21
13 - 17,349955 16.1,102036 16.2,247919 16.1,2021-12-21
18 - 24,502222 15.9,147094 17.0,355128 15.4,2021-12-21
25 - 29,389861 16.5,102643 19.1,287218 15.5,2021-12-21
30 - 39,825170 17.7,207122 21.4,618048 16.5,2021-12-21
40 - 49,733302 18.8,204564 21.3,528738 17.8,2021-12-21
50 - 59,573602 19.1,144202 22.3,429400 18.0,2021-12-21
60 - 69,399458 21.1,86256 27.5,313202 19.3,2021-12-21
70 - 79,202678 24.7,39175 31.5,163503 23.1,2021-12-21
80+,70068 27.5,11866 32.6,58202 26.5,2021-12-21
