Week,Agegroup,Tested positive,Total tested,Group,Agerange,Percentage
202132,80 en ouder,142,1705,70 en ouder,70 en ouder,8.328
202133,0 - 3,190,2064,Kinderen,0 - 12,9.205
202133,4 - 12,1088,5666,Basisschool,0 - 12,19.202
202133,13 - 17,1333,6006,Pubers,13 - 24,22.194
202133,18 - 24,3820,18019,Jongvolwassenen,13 - 24,21.2
202133,25 - 29,1789,11466,Jongvolwassenen,25 - 39,15.603
202133,30 - 39,2519,19228,Volwassenen,25 - 39,13.101
202133,40 - 49,1660,12479,Volwassenen,40 - 49,13.302
202133,50 - 59,1513,13158,Volwassenen,50 - 59,11.499
202133,60 - 69,838,9739,Volwassenen,60 - 69,8.605
202133,70 - 79,344,4777,70 en ouder,70 en ouder,7.201
202133,80 en ouder,142,1608,70 en ouder,70 en ouder,8.831
202134,0 - 3,182,1876,Kinderen,0 - 12,9.701
202134,4 - 12,1302,6855,Basisschool,0 - 12,18.993
202134,13 - 17,1500,7008,Pubers,13 - 24,21.404
202134,18 - 24,3344,22904,Jongvolwassenen,13 - 24,14.6
202134,25 - 29,1702,10981,Jongvolwassenen,25 - 39,15.499
202134,30 - 39,2584,18456,Volwassenen,25 - 39,14.001
202134,40 - 49,1881,13628,Volwassenen,40 - 49,13.802
202134,50 - 59,1465,13438,Volwassenen,50 - 59,10.902
202134,60 - 69,814,9575,Volwassenen,60 - 69,8.501
202134,70 - 79,321,4784,70 en ouder,70 en ouder,6.71
202134,80 en ouder,173,1767,70 en ouder,70 en ouder,9.791
202135,0 - 3,261,2509,Kinderen,0 - 12,10.403
202135,4 - 12,1910,12325,Basisschool,0 - 12,15.497
202135,13 - 17,1471,7704,Pubers,13 - 24,19.094
202135,18 - 24,3047,22082,Jongvolwassenen,13 - 24,13.799
202135,25 - 29,1671,12111,Jongvolwassenen,25 - 39,13.797
202135,30 - 39,2837,21013,Volwassenen,25 - 39,13.501
202135,40 - 49,2097,15888,Volwassenen,40 - 49,13.199
202135,50 - 59,1544,14166,Volwassenen,50 - 59,10.899
202135,60 - 69,880,9892,Volwassenen,60 - 69,8.896
202135,70 - 79,420,4945,70 en ouder,70 en ouder,8.493
202135,80 en ouder,163,1648,70 en ouder,70 en ouder,9.891
202136,0 - 3,245,2694,Kinderen,0 - 12,9.094
202136,4 - 12,3005,26132,Basisschool,0 - 12,11.499
202136,13 - 17,1477,10552,Pubers,13 - 24,13.997
202136,18 - 24,2434,26456,Jongvolwassenen,13 - 24,9.2
202136,25 - 29,1537,14368,Jongvolwassenen,25 - 39,10.697
202136,30 - 39,2825,24142,Volwassenen,25 - 39,11.702
202136,40 - 49,2148,18520,Volwassenen,40 - 49,11.598
202136,50 - 59,1523,15231,Volwassenen,50 - 59,9.999
202136,60 - 69,946,10396,Volwassenen,60 - 69,9.1
202136,70 - 79,408,4977,70 en ouder,70 en ouder,8.198
202136,80 en ouder,157,1588,70 en ouder,70 en ouder,9.887
202137,0 - 3,237,3002,Kinderen,0 - 12,7.895
202137,4 - 12,3257,36592,Basisschool,0 - 12,8.901
202137,13 - 17,1436,16322,Pubers,13 - 24,8.798
202137,18 - 24,1795,20402,Jongvolwassenen,13 - 24,8.798
202137,25 - 29,1370,13979,Jongvolwassenen,25 - 39,9.8
202137,30 - 39,2463,25657,Volwassenen,25 - 39,9.6
202137,40 - 49,1956,20812,Volwassenen,40 - 49,9.398
202137,50 - 59,1355,15761,Volwassenen,50 - 59,8.597
202137,60 - 69,834,10301,Volwassenen,60 - 69,8.096
202137,70 - 79,399,5113,70 en ouder,70 en ouder,7.804
202137,80 en ouder,187,1800,70 en ouder,70 en ouder,10.389
202138,0 - 3,187,2342,Kinderen,0 - 12,7.985
202138,4 - 12,2724,32820,Basisschool,0 - 12,8.3
202138,13 - 17,1186,17185,Pubers,13 - 24,6.901
202138,18 - 24,1383,18947,Jongvolwassenen,13 - 24,7.299
202138,25 - 29,1094,13175,Jongvolwassenen,25 - 39,8.304
202138,30 - 39,2083,24216,Volwassenen,25 - 39,8.602
202138,40 - 49,1746,20542,Volwassenen,40 - 49,8.5
202138,50 - 59,1165,14936,Volwassenen,50 - 59,7.8
202138,60 - 69,705,9522,Volwassenen,60 - 69,7.404
202138,70 - 79,361,4876,70 en ouder,70 en ouder,7.404
202138,80 en ouder,126,1594,70 en ouder,70 en ouder,7.905
202139,0 - 3,146,1785,Kinderen,0 - 12,8.179
202139,4 - 12,2008,19688,Basisschool,0 - 12,10.199
202139,13 - 17,999,16656,Pubers,13 - 24,5.998
202139,18 - 24,1257,18489,Jongvolwassenen,13 - 24,6.799
202139,25 - 29,864,13290,Jongvolwassenen,25 - 39,6.501
202139,30 - 39,1776,24330,Volwassenen,25 - 39,7.3
202139,40 - 49,1544,20591,Volwassenen,40 - 49,7.498
202139,50 - 59,1084,15491,Volwassenen,50 - 59,6.998
202139,60 - 69,693,9759,Volwassenen,60 - 69,7.101
202139,70 - 79,364,4664,70 en ouder,70 en ouder,7.804
202139,80 en ouder,179,1626,70 en ouder,70 en ouder,11.009
202140,0 - 3,145,1931,Kinderen,0 - 12,7.509
202140,4 - 12,1762,15455,Basisschool,0 - 12,11.401
202140,13 - 17,962,12824,Pubers,13 - 24,7.502
202140,18 - 24,1206,17731,Jongvolwassenen,13 - 24,6.802
202140,25 - 29,935,13356,Jongvolwassenen,25 - 39,7.001
202140,30 - 39,1881,24117,Volwassenen,25 - 39,7.799
202140,40 - 49,1553,19418,Volwassenen,40 - 49,7.998
202140,50 - 59,1184,15179,Volwassenen,50 - 59,7.8
202140,60 - 69,866,10189,Volwassenen,60 - 69,8.499
202140,70 - 79,416,4781,70 en ouder,70 en ouder,8.701
202140,80 en ouder,170,1437,70 en ouder,70 en ouder,11.83
202141,0 - 3,161,2091,Kinderen,0 - 12,7.7
202141,4 - 12,2703,16790,Basisschool,0 - 12,16.099
202141,13 - 17,1202,11445,Pubers,13 - 24,10.502
202141,18 - 24,1814,22401,Jongvolwassenen,13 - 24,8.098
202141,25 - 29,1328,16392,Jongvolwassenen,25 - 39,8.102
202141,30 - 39,2530,28110,Volwassenen,25 - 39,9.0
202141,40 - 49,2345,22119,Volwassenen,40 - 49,10.602
202141,50 - 59,1818,18182,Volwassenen,50 - 59,9.999
202141,60 - 69,1271,12341,Volwassenen,60 - 69,10.299
202141,70 - 79,742,5839,70 en ouder,70 en ouder,12.708
202141,80 en ouder,300,1985,70 en ouder,70 en ouder,15.113
202142,0 - 3,255,2745,Kinderen,0 - 12,9.29
202142,4 - 12,3827,21379,Basisschool,0 - 12,17.901
202142,13 - 17,1647,12198,Pubers,13 - 24,13.502
202142,18 - 24,2762,27619,Jongvolwassenen,13 - 24,10.0
202142,25 - 29,1962,20649,Jongvolwassenen,25 - 39,9.502
202142,30 - 39,3661,34865,Volwassenen,25 - 39,10.501
202142,40 - 49,3221,27293,Volwassenen,40 - 49,11.802
202142,50 - 59,2812,24035,Volwassenen,50 - 59,11.7
202142,60 - 69,1956,16859,Volwassenen,60 - 69,11.602
202142,70 - 79,1278,8039,70 en ouder,70 en ouder,15.897
202142,80 en ouder,477,2694,70 en ouder,70 en ouder,17.706
202143,0 - 3,204,2168,Kinderen,0 - 12,9.41
202143,4 - 12,3545,17292,Basisschool,0 - 12,20.501
202143,13 - 17,1579,9286,Pubers,13 - 24,17.004
202143,18 - 24,2711,26065,Jongvolwassenen,13 - 24,10.401
202143,25 - 29,2374,22610,Jongvolwassenen,25 - 39,10.5
202143,30 - 39,4286,38964,Volwassenen,25 - 39,11.0
202143,40 - 49,3830,29459,Volwassenen,40 - 49,13.001
202143,50 - 59,3419,27355,Volwassenen,50 - 59,12.499
202143,60 - 69,2584,19574,Volwassenen,60 - 69,13.201
202143,70 - 79,1727,9337,70 en ouder,70 en ouder,18.496
202143,80 en ouder,694,3031,70 en ouder,70 en ouder,22.897
202144,0 - 3,220,1715,Kinderen,0 - 12,12.828
202144,4 - 12,3229,14746,Basisschool,0 - 12,21.897
202144,13 - 17,1480,12034,Pubers,13 - 24,12.298
202144,18 - 24,3019,29596,Jongvolwassenen,13 - 24,10.201
202144,25 - 29,2460,25357,Jongvolwassenen,25 - 39,9.701
202144,30 - 39,4845,46143,Volwassenen,25 - 39,10.5
202144,40 - 49,4219,36684,Volwassenen,40 - 49,11.501
202144,50 - 59,4108,34813,Volwassenen,50 - 59,11.8
202144,60 - 69,3322,25355,Volwassenen,60 - 69,13.102
202144,70 - 79,2239,11368,70 en ouder,70 en ouder,19.696
202144,80 en ouder,838,2774,70 en ouder,70 en ouder,30.209
202145,0 - 3,515,4767,Kinderen,0 - 12,10.803
202145,4 - 12,9865,41978,Basisschool,0 - 12,23.5
202145,13 - 17,4020,24662,Pubers,13 - 24,16.3
202145,18 - 24,6563,44048,Jongvolwassenen,13 - 24,14.9
202145,25 - 29,5584,36023,Jongvolwassenen,25 - 39,15.501
202145,30 - 39,11044,69462,Volwassenen,25 - 39,15.899
202145,40 - 49,9988,60171,Volwassenen,40 - 49,16.599
202145,50 - 59,9615,58629,Volwassenen,50 - 59,16.4
202145,60 - 69,7722,44898,Volwassenen,60 - 69,17.199
202145,70 - 79,5014,24578,70 en ouder,70 en ouder,20.4
202145,80 en ouder,2042,8615,70 en ouder,70 en ouder,23.703
